name,affiliation
Fenlin Liu,PLA Strategic Support Force Information Engineering University
Feras N. Al-Obeidat,Zayed University
Forough Allahbakhshi,Islamic Azad University
François Grey,University of Geneva
Fred Morstatter,University of Southern California
Fucai Zhou,Northeastern University
Fuji Ren,Tokushima University
Fuzhi Zhang,Yanshan University
Gabriel A. Wainer,Carleton University
Gaby G. Dagher,Boise State University
Gang Kou,Southwestern University of Finance and Economics
Gang Liang,McGill University
Gang Pan 0001,Zhejiang University
Gang Xiong 0001,Chinese Academy of Sciences
Gaosheng Wu,Huazhong University of Science and Technology
Gaoxing Zhao,Dalian University of Technology
Gaoyang Liu,Huazhong University of Science and Technology
Garud Iyengar,Columbia University
Gary An,University of Chicago
Gaurav Sharma 0009,Lakehead University
Gautam Srivastava,Brandon University
Gavin Brown,Boston University
Ge Guo,Dalian Maritime University
Geoff A. Gross,University at Buffalo
Geoffrey P. Morgan,Carnegie Mellon University
George Cybenko,Dartmouth College
George Karabatis,University of Maryland - College Park
Georges Linarès,Avignon University
Georgios Mantas,University of Greenwich
Gerardo Garcia,University of Los Andes
Geyong Min,University of Exeter
Ghita Mezzour,International University of Rabat
Giagia Gao,Henan Polytechnic University
Gianluca Lax,Mediterranea University of Reggio Calabria
Gigliola Vaglini,University of Pisa
Gilberto Díaz-García,University of Los Andes
Giles Oatley,Federation University Australia
Giuseppe De Nicolao,University of Pavia
Gour C. Karmakar,Federation University Australia
Greeshma Lingam,National Institute of Technology
Greg Ver Steeg,University of Southern California
Guandong Xu,University of Technology Sydney
Guangchun Luo,UESTC
Guangjie Han,Nanjing Agricultural University
Guangmo Amo Tong,University of Texas at Dallas
Guangmo Tong,University of Delaware
Guangquan Xu,Tianjin University
Guangyao Pang,Shaanxi Normal University
Guangzhi Qu,Oakland University
Guanjun Liu,Tongji University
Gui-jun Zhang,Zhejiang University
Guilherme Galante,Western Paraná State University
Gulshan Shrivastava,National Institute of Technology
Gunasekaran Manogaran,University of California - Davis
Guodong Long,Monash University
Guoqiang Li 0001,Shanghai Jiao Tong University
Guoqing Wang,Chinese Academy of Sciences
Guoshuai Wei,Chongqing University
Guoyong Cai,Guilin University of Electronic Technology
Guy Zyskind,Massachusetts Institute of Technology
H. Vincent Poor,Princeton University
Habibollah Danyali,Shiraz University
Hadi Tajalizadeh,Shiraz University
Hai Liu,South China Normal University
Hai Zhao,Northeastern University
Hai-Feng Zhang 0003,Anhui University
Haibin Zheng,Zhejiang University
Haibin Zhu,Nipissing University
Haider Ali 0001,University of Derby
Haifeng Du,Cornell University
Haifeng Shen,Flinders University
Haiming Liang,Sichuan University
Hainan Zhang,Rutgers University
Haipeng Chen 0001,Dartmouth College
Hairong Dong,Beijing Jiaotong University
Haiyan Wang,Arizona State University
Haiyang Yu,Chongqing University
Hakim Ghazzai,Stevens Institute of Technology
Hamad Zogan,University of Technology Sydney
Han Liu 0002,Cardiff University
Han Qiu 0001,Telecom ParisTech
Hanchun Xiao,Chongqing University
Hande Hong,National University of Singapore
Hannah Johnson,Boise State University
Hans Rudolf Heinimann,ETH Zurich
Hao Ding 0006,York University
Hao Jiang,University of Science and Technology of China
Hao Jiang 0010,Wuhan University
Hao Lu 0002,Beijing Institute of Technology
Hao Wang 0003,Norwegian University of Science and Technology
Hao Yin,Tsinghua University
Haohan Wang,Carnegie Mellon University
Haojun Huang,Huazhong University of Science and Technology
Haoyi Zhou,Beihang University
Haoyu Wang,Chinese Academy of Sciences
Haoyue Liu,New Jersey Institute of Technology
Hari Prabhat Gupta,IIT (BHU) Varanasi
Haris Gacanin,Nokia Bell Labs
Harshit Srivastava,University of South Florida
Hasan Mahmud,Islamic University of Technology (IUT)
He Li 0001,Muroran Institute of Technology
He Yuan,Harbin Institute of Technology
Helder Coelho,University of Lisbon
Hendry,Chaoyang University of Technology
Hicham G. Elmongui,Alexandria University
Hichem Besbes,University of Carthage
Hiroki Nishiyama 0001,Tohoku University
Hoang Pham,Rutgers University
Hoda Khalil,Carleton University
Homa Hosseinmardi,University of Southern California
Hong Ding,Hangzhou Dianzi University
Hong Mo,Changsha University of Science and Technology
Hong-Ning Dai,Macau University of Science and Technology
Hongbin Huang,National University of Defense Technology
Hongbo Zhu,Shenyang Ligong University
Honghao Gao,Shanghai University
Hongjun Wang 0002,Southwest Jiaotong University
Hongming Cai,Shanghai Jiao Tong University
Hongwei Du 0001,Harbin Institute of Technology
Hongwei Li 0001,Chinese Academy of Sciences
Hongwei Wang 0004,Shanghai Jiao Tong University
Hongyang Zhao,Zhejiang University
Hossein Rastgoftar,Villanova University
Hsien-Chu Wu,National Chin-Yi University of Technology
Hu Teng,Tongji University
Huaji Wang,Cranfield University
Huan Liu 0001,Arizona State University
Huan Yan,Hefei University of Technology
Huan Zhang,Shanghai Normal University
Huan Zhou 0002,Zhejiang University
Huansheng Ning,University of Science and Technology Beijing
Huazhong Liu,Huazhong University of Science and Technology
Hugo Gonzalez Villasanti,Ohio State University
Hui Li 0005,Xidian University
Hui Xiong,Zhejiang University
Huicai Deng,Huazhong University of Science and Technology
Huijie Zhang,Dalian University of Technology
Huiling Jia,Zhejiang Sci-Tech University
Huiling Zhang,University of Florida
Hyo-Sung Ahn,Gwangju Institute of Science and Technology (GIST)
Imran Razzak,Deakin University
Ioannis Charalampidis,CERN
Irena Spasic,Cardiff University
Ishani Chatterjee,New Jersey Institute of Technology
Issa Annamoradnejad,Sharif University of Technology
Itisha Gupta,Banasthali Vidyapith
Ivan Lee,University of South Australia
Ivone Amorim,University of Porto
Iván Darío Hernández,University of Ibagué
Iyad Alazzam,Yarmouk University
Jacob Chakareski,University of Alabama
Jacob Harer,Boston University
Jacob Russell,Dartmouth College
Jafar Habibi,Sharif University of Technology
James A. Hendler,Rensselaer Polytechnic Institute
James F. Morris,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
James H. Liu,Massey University
James J. Q. Yu,Southern University of Science and Technology
James Miller 0001,University of Alberta
Jason Castiglione,University of Hawaii at Manoa
Jason M. Morawski,University of Alberta
Jean-Charles Delvenne,Catholic University
Jeff S. Shamma,King Abdullah University of Science and Technology
Jeremy Cohen,Imperial College London
Jeremy E. Thompson,Dartmouth College
Jeremy R. Cole,Google
Jesús María Godoy,University of Ibagué
Ji Li 0007,Georgia State University
Ji Liu 0001,Stony Brook University
Ji Zhang,Southwest Jiaotong University
Jia Wang,Northeastern University
Jia Yang,Huazhong University of Science and Technology
Jiachen Hou,Qingdao Academy of Intelligent Industries
Jiadong Guo,PLA Strategic Support Force Information Engineering University
Jiafu Jiang,Changsha University of Science and Technology
Jiahui Chen 0003,Hunan University
Jiali Liu,Beijing Jiaotong University
Jiamin Liu,National University of Defense Technology
Jian An,Xi'an Jiaotong University
Jian Li,Beijing University of Technology
Jian Li 0032,Tongji University
Jian Xu 0004,Northeastern University
Jian Yang,Chinese Academy of Sciences
Jianan Li,Shanghai Jiao Tong University
Jianfeng Lu 0002,Wuhan University
Jianfeng Ma 0001,Xidian University
Jiangtao Wang,Coventry University
Jianhua Li 0001,Shanghai Jiao Tong University
Jianhua Ma,Hosei University
Jianlei Lang,Beijing University of Technology
Jianlong Zhou,University of Technology Sydney
Jianmin Ma,Hebei Normal University
Jianming Zhu,Chinese Academy of Sciences
Jianqiang Li 0001,Shenzhen University
Jianqiang Li 0002,Beijing University of Technology
Jianxi Luo,Singapore University of Technology and Design
Jianxin Li 0001,Deakin University
Jianxin Li 0002,Beihang University
Jianxiong Guo,University of Texas at Dallas
Jiawei Chen,Fuzhou University
Jiaying Gong,Virginia Polytechnic Institute and State University
Jiaying Liu 0006,Dalian University of Technology
Jie Li,Northeastern University
Jie Zhang,Nanyang Technological University
Jie Zhang 0002,Nanyang Technological University
Jie Zhang 0053,Nanjing University
Jiehan Zhou,University of Oulu
Jiejun Hu,University of Essex
Jiguo Yu,Qilu University of Technology
Jiheng Huang,California State University at Los Angeles
Jihong Ding,Zhejiang University
Jiming Chen 0001,Zhejiang University
Jin-Hee Cho,U.S. Army Research Laboratory
Jinbao Wang,Harbin Institute of Technology
Jindong Cheng,Xi'an Jiaotong University
Jing Hua,Qingdao Academy of Intelligent Industries
Jing Qiu 0002,Guangzhou University
Jing Ren,Dalian University of Technology
Jing Wang,Institute of Smart Healthcare Systems
Jing Xiao,Dalian Minzu University
Jing Yuan 0002,University of Texas at Dallas
Jing Zhu,Nanjing University
Jing-Ru C. Cheng,U.S. Army Engineer Research and Development Center
Jingbo Huang,National University of Defense Technology
Jinghua Li,Chongqing University
Jingsheng Lei,Shanghai University
Jingwen Zhang,University of Technology Sydney
Jinhe Shi,New Jersey Institute of Technology
Jinman Kim,University of Sydney
Jinquan Zeng,UESTC
Jinyin Chen,Zhejiang University
Jinyu Cai,Fuzhou University
Jipeng Cui,Tongji University
Jiqiang Liu,Beijing Jiaotong University
Jiyao Hu,Fudan University
Joarder Kamruzzaman,Federation University Australia
Joel Schlosser,Georgia Institute of Technology
John C. S. Lui,Chinese University of Hong Kong
John Darlington,Imperial College London
John Korah,Illinois Institute of Technology
John Panneerselvam,University of Derby
John Skvoretz,University of South Florida
John Yawney,University of Guelph
John Yen,Pennsylvania State University
Jonathan Cohen,Johns Hopkins University
Jonathan Ozik,Argonne National Laboratory
Jonathan Rodriguez 0001,University of South Wales
Jose Emmanuel Ramirez-Marquez,Stevens Institute of Technology
Joseph Winstead Sirrianni,University of Arkansas
Joshua D. Guzman,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Joshua S. Weitz,Georgia Institute of Technology
José Aguilar 0001,University of Los Andes
José-Fernán Martínez-Ortega,Polytechnic University of Madrid
Joydeep Chandra,IIT Patna
Juan Arroyo Flores,University of South Florida
Juan Ni,South China Normal University
Juanjuan Li,Beijing Institute of Technology
Juanjuan Yao,Shanghai University
Jun Feng 0007,St. Francis Xavier University
Jun Jason Zhang,Wuhan University
Jun Qi,Liverpool John Moores University
Jun Wu 0001,Shanghai Jiao Tong University
Jun Zhang 0010,Deakin University
Jun Zhang 0040,Chinese Academy of Sciences
Junzhuang Wu,Huazhong University of Science and Technology
Jure Leskovec,Stanford University
Justin M. Wozniak,Argonne National Laboratory
Júlio Cezar Estrella,University of São Paulo
K. P. Subbalakshmi,Stevens Institute of Technology
K. Ranjini,Manonmaniam Sundaranar University
Kai Ma 0003,Dalian University of Technology
Kai Peng 0001,Huazhong University of Science and Technology
Kai Zhang,Tongji University
Kaize Shi,Beijing Institute of Technology
Kamal Berahmand,Azarbaijan Shahid Madani University
Kamal Taha,Khalifa University
Kanjar De,Norwegian University of Science and Technology
Kaoru Ota,Muroran Institute of Technology
Karthik Sheshadri,North Carolina State University
Kashif Zia,Sohar University
Kathleen M. Carley,Carnegie Mellon University
Katsuya Suto,Tohoku University
Kazumasa Oida,Fukuoka Institute of Technology
Ke Gu,Changsha University of Science and Technology
Kefu Yan,Changsha University of Science and Technology
Keisuke Miyanabe,Tohoku University
Keith C. C. Chan,The Hong Kong Polytechnic University
Keith Paarporn,Georgia Institute of Technology
Kellyton dos Santos Brito,UFRPE
Kelvin Kam-fai Tsoi,Chinese University of Hong Kong
Ken Barker 0001,University of Calgary
Keng-Pei Lin,Sun Yat-sen University
Kenji Saito,Keio University
Keshav Sood,Deakin University
Kevin I-Kai Wang,University of Auckland
Kevin M. Passino,Ohio State University
Kewang Zhang,Xi'an Jiaotong University
Kezhi Wang,Northumbria University
Khobaib Zaamout,University of Calgary
Kieran Evans,Cardiff University
Kim-Kwang Raymond Choo,University of Texas at San Antonio
Kingshuk De,National Institute of Technology
Klimis S. Ntalianis,Athens University of Applied Sciences
Konstantin Kuzmin,Rennselaer Polytechnic Institute
Konstantinos Tsitseklis,University of Athens
Koteswar Rao Jerripothula,IIIT Delhi
Koushik Mallick,Indian Statistical Institute
Koustav Rudra,Leibniz University Hannover
Koyel Chakraborty,Supreme Knowledge Foundation Group of Institutions
Kripabandhu Ghosh,IIT Kanpur
Krishna P. Gummadi,Max Planck Institute
Kristin L. Wood,Singapore University of Technology and Design
Kuai Xu,Arizona State University
Kuan Zhang,University of Waterloo
Kuang Xu,University of Hong Kong
Kun He 0001,Huazhong University of Science and Technology
Kun Yang 0001,University of Essex
Kun Zhu 0001,Nanjing University
Kwang-Cheng Chen,University of South Florida
Kyota Okubo,Fukuoka Institute of Technology
L. Richard Carley,Carnegie Mellon University
Laura Ricci,University of Pisa
Laurence T. Yang,Huazhong University of Science and Technology
Laurence Tianruo Yang,St. Francis Xavier University
Le Jiang,South China University of Technology
Lei Cui,Deakin University
Lei Shu 0001,Nanjing Agricultural University
Lei Wang 0134,Dalian University of Technology
Lei Yi,Shandong University
Lei-Lei Shi,Jiangsu University
Lele Zhang,Shanghai Normal University
Leonardo Maccari,University of Trento
Li Da Xu,Old Dominion University
Li Li 0013,Tsinghua University
Li Lu 0001,UESTC
Li Ni,University of Science and Technology of China
Li Xu 0002,Fujian Normal University
Li Yu 0003,Huazhong University of Science and Technology
Li-Chun Wang 0001,National Chiao Tung University
Liang Chang 0003,Guilin University of Electronic Technology
Liang Jiang,Jiangsu University
Liang Qi,Shandong University
Liang Zheng,China University of Petroleum
Lianggui Liu,Zhejiang Sci-Tech University
Liangtian Wan,Dalian University of Technology
Liangyin Chen,Sichuan University
Liangyun Liu,Chongqing University
Lianyong Qi,Qufu Normal University
Lichen Cheng,Beijing Jiaotong University
Lichen Zhang 0001,Shaanxi Normal University
Lida Xu,Old Dominion University
Lifang Li,South China University of Technology
Lifei Lu,Shanghai Jiao Tong University
Lihong Chen,Zhejiang University
Lijia Ma,Shenzhen University
Lijun Qian,Texas A&M University
Lin Jiang,Xi'an Jiaotong University
Ling Jiang,Drexel University
Ling Liu,Georgia Institute of Technology
Ling Tian,UESTC
Ling Yin,Chinese Academy of Sciences
Lingmei Ren,Shandong University
Lingmin Wang,Zhejiang Sci-Tech University
Lingxi Li,Indiana University
Lining Xing,National University of Defense Technology
Linqiang Pan,Huazhong University of Science and Technology
Lintao Yang,Central China Normal University
Linyao Yang,Chinese Academy of Sciences
Linyu Tang,Changsha University of Science and Technology
Lipo Wang,Nanyang Technological University
Liwei Ouyang,Qingdao Academy of Intelligent Industries
Lixing Wang,Northeastern University
Lixing Yu,Case Western Reserve University
Liyuan Liu,Shandong University
Lo-Yao Yeh,National Chi Nan University
Loitongbam Gyanendro Singh,IIT Guwahati
Longjiang Guo,Shaanxi Normal University
Longxiang Gao,Deakin University
Lu Fan,The Hong Kong Polytechnic University
Lu Liu 0001,University of Leicester
Luis Felipe Giraldo,University of Los Andes
Lunfei Wang,Hefei University of Technology
Lutao Zheng,Tongji University
M. Jamal Deen,McMaster University
M. Sridevi,National Institute of Technology
Madhuri Siddula,Georgia State University
Madichetty Sreenivasulu,National Institute of Technology
Mahsa Seifikar,K. N. Toosi University of Technology
Mahyar Sharif Vaghefi,University of Wisconsin-Milwaukee
Maitry Bhavsar,IIT Patna
Majed A. AlRubaian,King Saud University
Majid Mohammadi 0001,Delft University of Technology
Man Lin,St. Francis Xavier University
Manish Bhanu,IIT Patna
Manish Gupta 0001,Microsoft
Maoguo Gong,Xidian University
Maozhen Li,Tongji University
Marakkalage Sumudu Hasala,Singapore University of Technology and Design
Marcin Grzegorzek,University of Economics in Katowice
Margarita Vitoropoulou,University of Athens
Maria Glenski,Pacific Northwest National Laboratory
Mario G. C. A. Cimino,University of Pisa
Mark H. Chignell,University of Toronto
Markus Strohmaier,GESIS - Leibniz Institute for the Social Sciences
Marthie Grobler,CSIRO
Martin Gueuning,Catholic University
Martin Innes,Cardiff University
Marzieh Soltanolkottabi,Kansas State University
Masahiro Iwahashi,Nagaoka University of Technology
Masoud Asadpour,University of Tehran
Masoud Barati,Cardiff University
Matloob Khushi,University of Sydney
Matthew J. Robbins,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Matthew L. Williams,Cardiff University
Matthew S. Gerber,University of Virginia
Maunendra Sankar Desarkar,IIT Hyderabad
Maximilian Vierlboeck,Stevens Institute of Technology
Mayank Singh 0001,IIT Gandhinagar
Md Abdul Alim,University of Florida
Md. Imrul Kayes,University of South Florida
Md. Kamrul Hasan,Islamic University of Technology (IUT)
Mehrnoosh Mirtaheri,University of Southern California
Mehwish Nasim,University of Konstanz
Mei-Chu Lin,Sun Yat-sen University
Meikang Qiu,Shenzhen University
Meiqin Liu,Zhejiang University
Meizi Li,Shanghai Normal University
Meng Han,Kennesaw State University
Meng Wang,Hefei University of Technology
Meng Xi,Zhejiang University
MengChu Zhou,Macau University of Science and Technology
Mengbin Ye,Curtin University
Mengchu Zhou,King Abdulaziz University
Menglin Li,Northeast Normal University
Mengmeng Zhu,North Carolina State University
Mengzhen Kang,Qingdao Academy of Intelligent Industries
Mi Wen,Shanghai University
Mianxiong Dong,Muroran Institute of Technology
