institution,region,countryabbrv
International Universite of Rabat,africa,ma
Universite Mohammed V de Discount,africa,ma
National Univeristy of Malaysia,asia,my
Universiti Teknologi Malaysia,asia,my
University Illinois at Urbana-Champaign,northamerica,us
University Institute of Engineering and Technology,asia,in
University Institute of Information Technology,asia,pk
University of Zanjan,asia,ir
University Pierre and Marie Curie,europe,fr
University Pierre et Marie Curie,europe,fr
University of Agder,europe,no
University of Ballarat,australasia,au
University of Birjand,asia,ir
University of Bradford,europe,gb
University of Bridgeport,northamerica,us
University of Bucharest,europe,ro
University of Campinas,southamerica,br
University of Catania,europe,it
University of Cyprus,europe,cy
University of Delhi,asia,in
University of Dhaka (Affiliated),asia,bd
University of Gdansk,europe,pl
University of Hawaii,northamerica,us
University of Human Development,asia,iq
University of Innsbruck,europe,at
University of International Business and Economics,asia,cn
University of Jeddah,asia,sa
University of Kashan,asia,ir
University of Kelaniya,asia,lk
University of Lyon,europe,fr
University of Lyon 2,europe,fr
University of Malaga,europe,es
University of Messina,europe,it
University of Mosul,asia,iq
University of Muenster,europe,de
University of Ontario Institute of Technology,canada,ca
University of Oslo,europe,no
University of Paris Diderot,europe,fr
University of Patras,europe,gr
University of Pernambuco,southamerica,br
University of Peshawar,asia,pk
University of Plymouth,europe,gb
University of Primorska,europe,si
University of Prishtina,europe,xk
University of Puerto Rico - Rio Piedras,northamerica,us
University of Rahjuyan Danesh Borazjan,asia,ir
University of Rome Tor Vergata,europe,it
University of Sfax,africa,tn
University of Sherbrooke,canada,ca
University of Siena,europe,it
University of Social Science,europe,fr
University of Sousse,africa,tn
University of Southern Denmark,europe,dk
University of Strathclyde,europe,gb
University of Toulouse,europe,fr
University of Toulouse III - Paul Sabatier,europe,fr
University of Tunis,africa,tn
University of Tunis El Manar,africa,tn
University of Vale do Rio dos Sinos (UNISINOS),southamerica,br
University of Vermont,northamerica,us
University of West Florida,northamerica,us
University of Wollongong,australasia,au
University of Wolverhampton,europe,gb
University of Wuerzburg,europe,de
University of Yaounde I,africa,cm
University of the French West Indies and Guiana,europe,fr
University of the Peloponnese,europe,gr
Marche Polytechnic University,europe,it
University of Insubria,europe,it
Cheikh University Anta Diop,africa,sn
University Paris 1 Panthéon Sorbonne,europe,fr
University Paris 13,europe,fr
Orleans University,europe,fr
University of La Rochelle,europe,fr
Université de Tunis El Manar,africa,tn
University of Quebec in Outaouais,canada,ca
Usman Institute of Technology,asia,pk
VIT University,asia,in
VU Institute of Data Science and Digital Technologies,europe,lt
Veermata Jijabai Technological Institute,asia,in
Victoria University Business School,australasia,au
Vidyasagar University,asia,in
Vienna University of Economics and Business,europe,at
Vytautas Magnus University,europe,lt
Warwick University,europe,gb
Western Kentucky University,northamerica,us
Western Michigan University,northamerica,us
Wright State University,northamerica,us
Xihua University,asia,cn
Yazd University,asia,ir
Yunnan Normal University,asia,cn
Zanjan University of Medical Sciences,asia,ir
Çankaya University,asia,tr
Barcelona Institute of International Studies,europe,es
Japan Women's University,asia,jp
King Mongkut's University of Technology Thonburi,asia,th
Queen's University,canada,ca
University of L'Aquila,europe,it
Mother Teresa Women's University,asia,in
National University of Malaysia,asia,my
