name,affiliation
Chao Xue,"China Mobile Online Service Company Ltd., Zhengzhou, China"
Lutao Zheng,"CaiTong Security Company Ltd., Hangzhou, China"
Yuji Masuda,"System Development, Information System Group, Card Solution Company, Yamato System Development Company Ltd, Kawasaki, Japan"
Takanobu Mizuta,"Investment and Research Division, SPARX Asset Management Company Ltd, Minato, Japan"
Ke Zeng 0001,"AI-Center, Meituan.com, Beijing, China"
Daveed Gartenstein-Ross,"Valens Global Inc., Arlington, VA, USA"
Minghao Zhao 0002,"Fuxi AI Laboratory, NetEase, Inc., Hangzhou, China"
Huaiguang Jiang,"National Renewable Energy Laboratory, Golden, CO, USA"
Xia Liang,"CISDI Chongqing Information Technology Co. Ltd., Chongqing, China"
Jianrong Tao,"Fuxi AI Lab, NetEase Inc., Hangzhou, China"
Changjie Fan,"Fuxi AI Lab, NetEase Inc., Hangzhou, China"
R. Reid Bishop,"The Coca-Cola Company, Atlanta, GA, USA"
Alexander V. Outkin,"Sandia National Laboratories, Albuquerque, NM, USA"
Brandon K. Eames,"Sandia National Laboratories, Albuquerque, NM, USA"
Christine M. Edwards,"Lockheed Martin Corporation, Littleton, CO, USA"
Jiazhen Lin,"State Key Laboratory of Nuclear Power Safety Monitoring Technology and Equipment, Shenzhen, China"
Sheraz Ahmed,"Smart Data & Knowledge Services, German Research Center for Artificial Intelligence, Kaiserslautern, Germany"
Neeli Prasad,"Security and Wireless Technology, SmartAvatar B.V., Beijing, China"
Yongsheng Wu,"Shenzhen Center for Disease Control and Prevention, Shenzhen, China"
Xiaofeng Jia,"Beijing Big Data Centre, Beijing, China"
Hongwei Qi,"Datatang (Beijing) Technology Company Ltd., Beijing, China"
Heinz Schmitz,"Hochschule Trier, Trier, Germany"
Salvador Ruiz-Correa,"IPICYT, San Luis Potosi, SLP, Mexico"
Kevin Crowston,
Xuefei (Nancy) Deng,"California State University, CA, USA"
Morten Bay,"Center for the Digital Future at the USC Annenberg School, CA, USA"
Carlo Olmos-Carrillo,"Huapango Media, México"
Simon Walk,"Detego GmbH, Graz, Austria"
Scott Rager,"Raytheon BBN Technologies, MA, USA"
Andre Ferretto,"SP Tech Solutions, Hawthorn, VIC, Australia"
Sanjaya Wijeratne,"Holler Technologies, Inc., CA, USA"
John Glover,"AYLIEN LTD., Harmony Court, Harmony Row, Dublin, Ireland"
Frank L. Greitzer,"PsyberAnalytix, Richland, WA USA"
Justin Purl,Human Resources Research Organization
John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Jerry W. Carlson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Nigel Hopkins,
Robert Poulin,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Marie-Claude Boily,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Benoît R. Mâsse,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Brian McCue,"4915 Cherokee Avenue, Alexandria, VA 22312, USA"
Harm Lieverdink,"CTU, P.O. Box 459, 1180 AC Amstelveen, The Netherlands"
Barbara Zemljic,"Radiotelevision Slovenija, Kolodvorska 2, SI-1550 Ljubljana, Slovenia"
Rebecca Goolsby,"Office of Naval Research-Code 342, Cognitive, Neural, and Social S&T Division, USA"
Dominique Cardon,"Laboratoire de sociologie des usages, France Télécom R&D, France"
Fabien Granjon,"Laboratoire de sociologie des usages, France Télécom R&D, France"
Christian Licoppe,"Ecole Nationale Supérieure des Télécommunications, Paris, France"
Zbigniew Smoreda,"Sociology and Economics of Networks and Services Department, Orange Labs, Issy-les-Moulineaux, France"
Dominique Simon,"Center for Addiction Recovery, 131 Silver Lane, Sunderland, MA 01375, USA"
Benedetta Belli-McQueen,"Center for Success and Independence Houston, TX, United States"
Ali Haider,"Karachi, Pakistan"
Peter D. Killworth,"Division for Ocean Circulation, National Oceanography Centre, Southampton, United Kingdom"
James Rennell,"Division for Ocean Circulation, National Oceanography Centre, Southampton, United Kingdom"
Ranu Basu,
Bruno Morra,"Department of Otorhinolaryngology, Hospital “S. Giovanni Battista”, Torino, Italy"
Donald Steiny,"131 Felix Street #15, CA 95060, United States"
Jaume Guia,"Department of Organization, Business Management and Product Design, Faculty of Tourism, Pujada dels Alemanys 4, 17071 Girona, Spain"
Cullen Goldblatt,"Beth Israel Medical Center, United States"
Don C. DesJarlais,"Beth Israel Medical Center, United States"
Allan Clifton,"Department of Psychology, Vassar College, Box 127, 124 Raymond Avenue, Poughkeepsie, NY 12604-0127, United States"
David B. Chua,"State Street Bank, Boston, MA, USA"
Marc Barthelemy,"Commissariat à l'Energie Atomique, Centre d'Etudes de Bruyères Le Châtel, Bruyères Le Châtel, France"
Andrew T. Stephen,"Marketing, INSEAD, Boulevard de Constance, Fontainebleau 77305, France"
William J. Fitzgerald 0002,"Orange County Department of Education, Costa Mesa, CA 92628, USA"
Maeve B. Mello,"Laboratory on Health Information, Oswaldo Cruz Foundation, Rio de Janeiro, Brazil"
Neilane Bertoni,"Laboratory on Health Information, Oswaldo Cruz Foundation, Rio de Janeiro, Brazil"
Birgit Pauksztat,"Department of Management and Organization, Hanken School of Economics, P.O. Box 479, 00101 Helsinki, Finland"
András Vicsek,"Maven 7, Hungary"
Shobhit Mathur,"255 Warren St. Apt 807, Jersey City, NJ 07302, United States"
Stephen Q. Muth,"Quintus-ential Solutions, CO, United States"
Mario Ventresca,
Dionne M. Aleman,
Catherine J. Chu,"Massachusetts General Hospital, Department of Neurology, United States"
Matt T. Bianchi,"Massachusetts General Hospital, Department of Neurology, United States"
Todd E. Malinick,"Energy Market Innovations, Inc., United States"
Anne-Marie Niekamp,"Department of Sexual Health, Infectious Diseases and Environmental Health, South Limburg Public Health Service, PO Box 2022, 6160 HA Geleen, The Netherlands"
Christian J. P. A. Hoebe,"Department of Sexual Health, Infectious Diseases and Environmental Health, South Limburg Public Health Service, PO Box 2022, 6160 HA Geleen, The Netherlands"
Nicole H. T. M. Dukers-Muijrers,"Department of Sexual Health, Infectious Diseases and Environmental Health, South Limburg Public Health Service, PO Box 2022, 6160 HA Geleen, The Netherlands"
Francois Collet,"ESADE Business School, Avenue Pedralbes 60-62, Barcelona 08034, Spain"
Binh Phan,"Department of Strategy and Logistics, BI Norwegian Business School, Nydalsveien 37, 0484 Oslo, Norway"
Kenth Engø-Monsen,"Telenor Group, Research and Future Studies, Snarøyveien 30, N-1331 Fornebu, Norway"
Øystein D. Fjeldstad,"Department of Strategy and Logistics, BI Norwegian Business School, Nydalsveien 37, 0484 Oslo, Norway"
Daniella Meeker,"Rand Corporation, Santa Monica, CA, United States"
Crystal Linkletter,"MathWorks, 3 Apple Hill Dr, Natick, MA 01760, United States"
François Charbonnier,"ENSAE, 92245 Malakoff cedex, France"
Tristan Picard,"ENSAE, 92245 Malakoff cedex, France"
Jack Reilly,"New College of Florida, United States"
Andrew Shipilov,"INSEAD, Boulevard de Constance, Fontainebleau 77300, France"
Ferenc Szidarovszky,"Reliasoft Corporation, 1450 South Eastside Loop, Tucson, United States"
Angelo Mondaini Calvão,"School of Applied Mathematics, Getulio Vargas Foundation, Rio de Janeiro, RJ, Brazil"
Crysttian Arantes Paixão,"School of Applied Mathematics, Getulio Vargas Foundation, Rio de Janeiro, RJ, Brazil"
Renato Rocha Souza,"School of Applied Mathematics, Getulio Vargas Foundation, Rio de Janeiro, RJ, Brazil"
Lorien Jasny,"National Socio-Environmental Synthesis Center, 1 Park Place, Suite 300, Annapolis, MD 21401, United States"
Yuli Patrick Hsieh,"Program on Digital Technology and Society, Survey Research Division, RTI International, United States"
Monika Cerinsek,"Hruška d.o.o., Kajuhova 90, 1000 Ljubljana, Slovenia"
Weihua An,
Paulette Lloyd,"AAAS Fellow and Foreign Affairs Analyst, U.S. Department of State, 2201C Street NW, Washington, DC 20524, United States"
K. Asokan 0002,"Department of Mathematics, College of Engineering, Thiruvananthapuram, Kerala 695 016, India"
Richard A. Benton,"University of Illinois, United States"
Oscar Hendrick,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Sabrina Delgado-Arias,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Vanessa M. Escobar,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Peter Griffith,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Minling Pan,"Pacific Islands Fisheries Science Center, NOAA National Marine Fisheries Service, 1845 Wasp Blvd, Building 176, Honolulu, HI 96818, USA"
Olivier Godechot,"Sciences Po, MaxPo, France"
Pierre Barbillon,"AgroParisTech/UMR INRA MIA 518, 16 rue Claude Bernard, 75231 Paris Cedex 05, France"
Sophie Donnet,"AgroParisTech/UMR INRA MIA 518, 16 rue Claude Bernard, 75231 Paris Cedex 05, France"
Mathew Mathews,"Lee Kuan Yew School of Public Policy, 1C Cluny Road House 5, Singapore 259599, Singapore"
Christina Prell,"Geographical Sciences Department, MD, USA"
Sandrine Casenaz,"CSO, Sciences Po, Paris, France"
Christianne J. de Poot,"Research and Documentation Centre, Ministry of Security & Justice, The Hague, The Netherlands"
Charles Weko,"Headquarters, Department of the Army, United States Army, United States"
Antonio Scala,"ICS CNR, Italy"
Joshua Embree,"RAND Corporation, USA"
Joan S. Tucker,"RAND Corporation, USA"
Harold D. Green Jr.,"RAND Corporation, USA"
Rob Cross,"Babson College, 125 Tomasso Hall, Babson Park, Massachusetts 02457-0310, United States"
Leonardo Soares Bastos,"Scientific Computational Program, Oswaldo Cruz Foundation (FIOCRUZ), Brazil"
Elena Sommer,"Bremen International Graduate School of Social Sciences (BIGSSS), Germany"
Sara Ahajjam,"Laboratory of Information and Communication Technologies, National School of Applied Sciences, ENSA, Tangier, Morocco"
Mohamed El Haddad,"Laboratory of Information and Communication Technologies, National School of Applied Sciences, ENSA, Tangier, Morocco"
Hassan Badir,"Laboratory of Information and Communication Technologies, National School of Applied Sciences, ENSA, Tangier, Morocco"
Lisa M. Kuhns,"Division of Adolescent Medicine, Ann & Robert H. Lurie Children's Hospital, Chicago, IL, United States"
Lucia Falzon,"Defence Science and Technology Group, Department of Defence, Australia"
John Dunn,"Defence Science and Technology Group, Department of Defence, Australia"
Mauro Barone,"Agenzia delle Entrate - Ufficio Studi Economico-Statistici, Via C. Colombo 426 c/d, 00145 Roma, Italy"
Jakub Growiec,"SGH Warsaw School of Economics, Department of Quantitative Economics, Poland"
Miles Q. Ott,"Smith College, 44 College Lane, Northampton, MA, 01063, United States"
Alessandro Spelta,"Center for Analysis, Decisions, and Society (CADS) - Human Technopole, Milano, Italy"
Péter Kardos,"Bloomfield College, NJ, USA"
Yanjun He,
Julian Ehrenfels,"Techniker Krankenkasse, Hamburg, Germany"
Eva Krampe,"European Investment Bank, Luxembourg, Luxembourg"
James Mkandawire,"Invest in Knowledge, Malawi"
Judit Pál,"MTA TK ‘Lendület' Research Center for Educational and Network Studies (RECENS), Hungary"
Zsófia Boda,"MTA TK ‘Lendület' Research Center for Educational and Network Studies (RECENS), Hungary"
Nejat Arinik,"Laboratoire Informatique d'Avignon LIA EA 4128, Avignon, France"
Rosa Figueiredo 0001,"Laboratoire Informatique d'Avignon LIA EA 4128, Avignon, France"
Vincent Labatut,"Laboratoire Informatique d'Avignon LIA EA 4128, Avignon, France"
Ko Kuwabara,"INSEAD Asia, 1 Ayer Rajah Avenue, 138676, Singapore"
Xi Zou,"Nanyang Business School, Singapore"
Claudius Hildebrand,"Spencer Stuart, United States"
Jeroen Bruggeman,
Daniela Stockmann,"Hertie School of Governance, Friedrichstrasse 180, 10117, Berlin, Germany"
Keri Hartman,"Hertie School of Governance, Friedrichstrasse 180, 10117, Berlin, Germany"
Jerome R. Mayaud,"Spare Labs, Canada"
Ehsan Fakharizadi,"Indeed, United States"
Ion Georgiou,"Fundação Getulio Vargas (FGV), Escola de Administração de Empresas de São Paulo (EAESP), Departamento de Tecnologia e Ciência de Dados (Technology & Data Science - TDS), Rua Itapeva 474 - 9 Andar, Sala 901, Bairro Bela Vista, São Paulo, 01332-000, SP, Brazil"
Ronald Concer,"Fundação Getulio Vargas (FGV), Escola de Administração de Empresas de São Paulo (EAESP), Departamento de Tecnologia e Ciência de Dados (Technology & Data Science - TDS), Rua Itapeva 474 - 9 Andar, Sala 901, Bairro Bela Vista, São Paulo, 01332-000, SP, Brazil"
F. Petruzzella,"Procura della Repubblica presso il Tribunale di Palermo - Direzione Distrettuale Antimafia, Piazza V.E. Orlando, 1, 90138 Palermo, Italy"
C. Ferrara,"Procura della Repubblica presso il Tribunale di Palermo - Direzione Distrettuale Antimafia, Piazza V.E. Orlando, 1, 90138 Palermo, Italy"
Gert Stulp,"Department of Sociology & Inter-University Center for Social Science Theory and Methodology, Grote Rozenstraat 31, 9712 TS Groningen, The Netherlands"
Andrea Mendoza-Silva,"EGADE Business School, Tecnologico de Monterrey, Av. Eugenio Garza Lagüera y Rufino Tamayo, n/n, Valle Oriente, 66269, San Pedro Garza García, N.L, Mexico"
Yu-Tzung Chang,NTU
Loring Liu,"Tencent Computer System Co. Ltd, Shenzhen, China"
Karl Branting,"The MITRE Corporation, McLean, USA"
Shichang Ding,"State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China"
Yiwei Tong,"Shanghai Hejin Information Technology Company, Shanghai, China"
Dalhia Mani,"HEC Paris, Jouy en Josas, France"
Fabien Jourdan,"INRA, UMR1089, Toulouse, France"
Janette Lehmann,"ISI Foundation, Turin, Italy"
M. Saravanan 0003,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Garigipati Prasad,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Karishma Karishma,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
D. Suganthi,"Ericsson India Private Limited, Ericsson R&D, Chennai, India"
Sofus A. Macskassy,"Fetch Technologies, El Segundo, USA"
Joel Brynielsson,"Swedish Defence Research Agency, Stockholm, Sweden"
Lisa Kaati,"Swedish Defence Research Agency, Stockholm, Sweden"
Pontus Svenson,"Swedish Defence Research Agency, Stockholm, Sweden"
Lei Tang 0001,"Yahoo! Labs, Santa Clara, USA"
Yi Huang 0002,"Siemens AG, Corporate Technology, Munich, Germany"
Volker Tresp,"Siemens AG, Corporate Technology, Munich, Germany"
Said Kashoob,"Department of Engineering, Salalah College of Technology, Salalah, Oman"
Stanislaw Saganowski,"Research Engineering Center Sp. z o.o., Wrocław, Poland"
Stephan Baumann 0001,"German Research Center for AI (DFKI), Berlin, Germany"
Ali Amin,"State College of Islamic Studies (STAIN), Manado, Indonesia"
Ganesh Ramesh,"Yahoo! Inc., Santa Clara, USA"
Dalton Lopes Martins,"Technology Faculty of São Paulo (FATEC), São Paulo, Brazil"
Sridhar Mandyam,"Ecometrix Research, Bangalore, India"
Usha Sridhar,"Ecometrix Research, Bangalore, India"
Tharaka Alahakoon,"Norcross, USA"
Karen Zita Haigh,"Raytheon BBN Technologies, Louis Park, USA"
Gianni Costa,"ICAR, CNR, Rende (CS), Italy"
Riccardo Ortale,"ICAR, CNR, Rende (CS), Italy"
Mario Cataldi,"École Centrale Paris, Paris, France"
Marie-Aude Aufaure,"École Centrale Paris, Paris, France"
Peter Laflin,"Bloom Agency, Green Sand Foundry, Leeds, UK"
Fiona Ainley,"Bloom Agency, Green Sand Foundry, Leeds, UK"
Amanda Otley,"Bloom Agency, Green Sand Foundry, Leeds, UK"
Lucas A. Overbey,"Space and Naval Warfare Systems Center Atlantic, North Charleston, USA"
Benjamin Greco,"Space and Naval Warfare Systems Center Atlantic, North Charleston, USA"
Christopher Paribello,"MathWorks, Natick, USA"
Terresa Jackson,"Space and Naval Warfare Systems Center Atlantic, North Charleston, USA"
Antoine Boutet,"INRIA Rennes Bretagne Atlantique, Rennes, France"
Daniel Schall 0001,"Siemens Corporate Technology, Vienna, Austria"
Mohammad Rifaie,"Department of Information Technology, RBC Royal Bank of Canada, Toronto, Canada"
Christopher McCubbin,"Sqrrl Data, Inc., Boston, USA"
James T. Halbert,"TASC Inc., Chantilly, USA"
Remco Wijn,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Erik M. Boertjes,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Stephen L. Lenkey,"Division of Economic and Risk Analysis, U.S. Securities and Exchange Commission, Washington, USA"
Peter-Paul van Maanen,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Bob van der Vecht,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Charles A. Kamhoua,"Information Directorate, US Air Force Research Laboratory (AFRL), Rome, USA"
Kevin A. Kwiat,"Information Directorate, US Air Force Research Laboratory (AFRL), Rome, USA"
Mir-Kamran Mahshid,"Department of Information and Communications Engineering, University Of Zanjan, Zanjan, Iran"
Aboul Ella Hassanien,"Scientific Research Group in Egypt (SRGE), Cairo, Egypt"
Aly A. Fahmy,"Scientific Research Group in Egypt (SRGE), Cairo, Egypt"
Duen Horng Chau,"School of Computational Science and Engineering, Georgia Tech, Atlanta, USA"
Karim Djemame,"Wireless Communication and Mobile Computing research group, Disney Research Zurich, Zurich, Switzerland"
Stefano Faralli 0001,"Dip. Informatica, La Sapienza, Rome, Italy"
Giovanni Stilo,"Dip. Informatica, La Sapienza, Rome, Italy"
Paola Velardi,"Dip. Informatica, La Sapienza, Rome, Italy"
Zide Meng,"INRIA Sophia Antipolis Méditerranée, Sophia Antipolis, France"
Fabien Gandon,"INRIA Sophia Antipolis Méditerranée, Sophia Antipolis, France"
Ge Song 0001,"INRIA Sophia Antipolis Méditerranée, Sophia Antipolis, France"
Caitlin VerSchneider,"Nazareth College, Rochester, USA"
Jorge Brea,"Grandata Labs, Buenos Aires, Argentina"
Javier Burroni,"Grandata Labs, Buenos Aires, Argentina"
Michael Steurer,"Know-Center, Graz, Austria"
Avi Rosenfeld,"Department of Industrial Engineering, Jerusalem College of Technology, Jerusalem, Israel"
Djamel Eddine Zegour,"LCSI Laboratory, National High School of Computer Science, Algiers, Algeria"
Ahmed Al Dhanhani,"Etisalat British Telecom Innovation Center, Abu Dhabi, United Arab Emirates"
Vladimir Barash,"New York, USA"
Sara Hajian,"Eurecat-Technology Centre of Catalonia, Barcelona, Spain"
Francesco Bonchi,"Eurecat-Technology Centre of Catalonia, Barcelona, Spain"
Gregory Tauer,"Data Science and Information Fusion Group, CUBRC, Inc., Buffalo, USA"
Mina Doroud,"Twitter Inc., San Francisco, USA"
Fatih Sen,"Le Bonheur Children's Hospital, Memphis, USA"
Taro Takaguchi,"JST, ERATO, Kawarabayashi Large Graph Project, Tokyo, Japan"
Masashi Toyoda,"JST, ERATO, Kawarabayashi Large Graph Project, Tokyo, Japan"
Naoki Masuda,"JST, ERATO, Kawarabayashi Large Graph Project, Tokyo, Japan"
Ira S. Moskowitz,"Information Management and Decision Architectures Branch, Code 5580, Naval Research Laboratory, Washington, USA"
Paul Hyden,"Information Management and Decision Architectures Branch, Code 5580, Naval Research Laboratory, Washington, USA"
Stephen Russell 0001,"Battlefield Information Processing Branch, US Army Research Laboratory, Adelphi, USA"
Piergiuseppe Pellè,"Dhitech SCARL, High Technology Cluster, Lecce, Italy"
Gaspar Brogueira,"INESC-ID, Lisbon, Portugal"
João Paulo Carvalho,"INESC-ID, Lisbon, Portugal"
Nuno Moniz,"LIAAD - INESC Tec, Oporto, Portugal"
Márcia D. B. Oliveira,"LIAAD - INESC Tec, Oporto, Portugal"
Renato Soeiro,"LIAAD - INESC Tec, Oporto, Portugal"
Elias Athanasopoulos,"FORTH-ICS, Crete, Greece"
Roger Vargas Jr.,"Mathematics and Statistics, Williams College, Williamstown, USA"
Ankur Jain,"Department of Mathematics, UIT-Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal, India"
Vijay K. Gupta,"Department of Mathematics, UIT-Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal, India"
Salvatore Rinzivillo,"KDDLab, ISTI-CNR, Pisa, Italy"
Nemanja Spasojevic,"Lithium Technologies|Klout, San Francisco, USA"
Prantik Bhattacharyya,"Lithium Technologies|Klout, San Francisco, USA"
Adithya Rao,"Lithium Technologies|Klout, San Francisco, USA"
Rong Zhou 0001,"Palo Alto Research Center (PARC, a Xerox Company), Palo Alto, USA"
Shubhangi Rastogi,"Ajay Kumar Garg Engineering College Ghaziabad, Ghaziabad, India"
Mohammed Korayem,"CareerBuilder, Norcross, USA"
Khalifeh AlJadda,"CareerBuilder, Norcross, USA"
Kiran Lakkaraju,"Sandia National Labs, Albuquerque, USA"
Brigitte Piniewski,"PeaceHealth Laboratories, Vancouver, USA"
David Kil,"HealthMantic, Inc., Los Altos, USA"
Subu Surendran,"SCT College of Engineering, Thiruvananthapuram, India"
D. Chithra Prasad,"TKM College of Engineering, Kollam, India"
M. Ramachandra Kaimal,"Amrita Viswa Vidyapeetam, Kollam, India"
Robert A. Bridges,"Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, USA"
John P. Collins,"Computational Sciences and Engineering Division, Oak Ridge National Laboratory, Oak Ridge, USA"
