name,affiliation
Andrew V. Papachristos,Yale University
András Vörös 0002,ETH Zurich
André F. Gygax,University of Melbourne
Andrés Cardona,Bielefeld University
Angela Bohn,Institute for Statistics and Mathematics
Angela Mariuccia Andriano,University of Foggia
Anh Ta,University of North Texas
Anindya S. Chakrabarti,Indian Institute of Management
Anja Dirkzwager,Netherlands Institute for the Study of Crime and Law enforcement (NSCR)
Anja Znidarsic,University of Maribor
Anke Munniksma,University of Amsterdam
Anna Fruzsina Gyor,Corvinus University of Budapest
Anna L. Smith,Ohio State University
Anna Priante,University of Twente
Anna Rácz,Semmelweis University
Anna Torriero,Università Cattolica del Sacro Cuore
Annatina Aerne,University of St. Gallen
Annie Cody Holdren,University of California - Los Angeles
Annie Waldherr,University of Münster
Anthea Bill,University of Newcastle
Anton Grau Larsen,Copenhagen Business School
Antonio D. Sirianni,Dartmouth College
Antonio Lopolito,University of Foggia
Antonio Páez,McMaster University
Antonio Stasi,University of Foggia
Antonius H. N. Cillessen,Radboud University
António J. Santos,ISPA University Institute of Psychological Sciences
Anuska Ferligoj,University of Ljubljana
Ariana Need,University of Twente
Arnout van de Rijt,Stony Brook University
Arthi Ramachandran,University of Chicago
Arthur Schram,University of Amsterdam
Arun Sundararajan,York University
Arunabha Sen,Arizona State University
Ashton M. Verdery,Pennsylvania State University
Ashwin Kucheriya,State University of New York at Buffalo
Avner Bar-Hen,University Paris Descartes
Axel Franzen,University of Bern
Balázs Kovács,Yale University
Barbara B. Brewer,University of Arizona
Barbara Entwisle,University of North Carolina
Barbara Pfetsch,FU Berlin
Barry Markovsky,University of South Carolina
Barry Wellman,University of Toronto
Bart Husslage,Fontys University of Applied Sciences
Bart Van de Putte,Ghent University
Bas Hofstra,Stanford University
Basak Bilecen,Bielefeld University
Beata Dávid,Hungarian Academy of Sciences
Beata Lopaciuk-Gonczaryk,University of Warsaw
Beate Volker,Utrecht University
Beate Völker,University of Amsterdam
Beau Dabbs,Carnegie Mellon University
Bella Struminskaya,Utrecht University
Benjamin Cornwell,Cornell University
Benjamin D. Zablocki,Rutgers University
Benjamin Lubin,Boston University
Benjamin W. Campbell,Ohio State University
Beom Jun Kim,Ajou University
Bernard Grofman,University of California - Irvine
Bernd Heidergott,VU Amsterdam
Bernhard Leidner,University of Massachusetts
Bernice A. Pescosolido,Indiana University
Bernie Hogan,University of Oxford
Bert De Cuyper,KU Leuven
Beth Molnar,Northeastern University
Bettina Hoser,University of Karlsruhe (TH)
Bill Mitchell,University of Newcastle
Bin Zhou,Jiangsu University
Blake C. Stacey,New England Complex Systems Institute
Bradley Crouch,University of Illinois at Urbana-Champaign
Brandon Brooks,Michigan State University
Brandy Aven,Carnegie Mellon University
Brea L. Perry,Indiana University
Brendan Nyhan,University of Michigan
Brent Simpson,University of South Carolina
Brian Carolan,City University of New York
Brian E. Vaughn,Auburn University
Brian F. Schaffner,University of Massachusetts
Brian Francis,Lancaster University
Brian Rubineau,McGill University
Brian S. Mustanski,Northwestern University
Brigham S. Anderson,Carnegie Mellon University
Britta Renner,University of Konstanz
Britta Ruhnau,University of Dortmund
Brooke Foucault Welles,Northeastern University
Bruce A. Desmarais,Pennsylvania State University
Bruce C. Straits,University of California - Santa Barbara
Bruce Cronin,University of Greenwich
Bálint Néray,Hungarian Academy of Sciences
Béla Janky,Budapest University of Technology and Economics
C. Christina Mehta,Emory University
C. Deniz Yenigün,Istanbul Bilgi University
C. Prem Sankar,University of Kerala
Caitlin E. Hughes,UNSW
Caitlin Porter,Purdue University
Camille Roth,CNRS
Carl A. Latkin,Johns Hopkins University
Carl Nordlund,Linköping University
Carla Fernandes,ISPA University Institute of Psychological Sciences
Carlene Wilson,Flinders University
Carlo Morselli,University of Montreal
Carlo Piccardi,Politecnico di Milano
Carlos Lozares,Autonomous University of Barcelona
Carmen Ramos Carvajal,University of Oviedo
Carol Lynn Martin,Arizona State University
Caroline Acker,Carnegie Mellon University
Carolyn J. Anderson,University of Illinois at Urbana-Champaign
Carter T. Butts,University of California - Irvine
Cassie McMillan,Pennsylvania State University
Caterina Giannetti,University of Bologna
Catherine A. Calder,Ohio State University
Catherine Riegle-Crumb,University of Texas at Austin
Catherine T. Shea,Carnegie Mellon University
Cecilia Menjívar,University of Kansas
Chandra Muller,University of Texas at Austin
Charles Carroll,University of Groningen
Charles F. Mann,Southern Methodist University
Charles J. Gomez,Stanford University
Charles Kadushin,Brandeis University
Charlotte Struyve,KU Leuven
Cheng Wang 0010,University of Notre Dame
Chengwei Liu,University of Warwick
Chiara Broccatelli,University of Glasgow
Chien-Te Wu,National Taiwan University
Chih-Ping Chou,University of Southern California
Ching-Ling Cheng,National Taiwan Normal University
Chloé Meredith,KU Leuven
Chloé Provost,University of Montreal
Chris Baerveldt,University of Utrecht
Chris Hankin,Imperial College London
Chris Muelder,University of California - Davis
Chris Snijders,Eindhoven University of Technology
Christian Aßmann,University of Bamberg
Christian Buchta,Institute for Service Marketing and Tourism
Christian E. G. Steglich,University of Groningen
Christian Henning,University of Kiel
Christian R. Shelton,University of California - Riverside
Christian Steglich,University of Groningen
Christian Tallberg,Stockholm University
Christina Prell,University of Maryland - College Park
Christina Salmivalli,University of Turku
Christofer R. Edling,Lund University
Christoph H. Loch,HP Labs
Christoph Houman Ellersgaard,Copenhagen Business School
Christoph Stadtfeld,ETH Zurich
Christophe Vandeviver,Ghent University
Christopher J. Cameron,Cornell University
Christopher L. Magee,Massachusetts Institute of Technology
Christopher Marquis,Harvard University
Christopher McCarty,University of Florida
Christopher R. Browning,Ohio State University
Christopher Steven Marcum,National Human Genome Research Institute
Christopher Sukhu,University of Chicago
ChuanRen Liu,University of Tennessee
Chyi-In Wu,Academia Sinica
Claire Bidart,CNRS
Claude S. Fischer,University of California - Berkeley
Clemens Kroneberg,Institute of Sociology
Cliff Lampe,University of Michigan
Clémence Magnien,CNRS
Cohen R. Simpson,University of Oxford
Conrad Lee,University College Dublin
Conrado Manuel,Universidad Complutense de Madrid
Cordula Wagner,NIVEL: Netherlands Institute for Health Services Research
Corina Graif,Pennsylvania State University
Craig Pearson,University of Melbourne
Csaba Pléh,Central European University
Cuihua Shen,University of California - Davis
Cynthia Giguère,University of Montreal
Cynthia M. Lakon,University of California - Irvine
Cynthia M. Webster,University of New South Wales
Cyprian Wejnert,Cornell University
Cécile Emery,London School of Economics and Political Science
D. Wayne Osgood,Pennsylvania State University
Dali Ma,Drexel University
Dan Braha,New England Complex Systems Institute
Dan J. Wang,Stanford University
Dan Wang,Columbia University
Dana L. Haynie,Ohio State University
Danching Ruan,Hong Kong Baptist University
Daniel A. McFarland,Stanford University
Daniel A. Newman,University of Illinois at Urbana-Champaign
Daniel DellaPosta,Cornell University
Daniel Diermeier,University of Chicago
Daniel J. Brass,University of Kent
Daniel K. Sewell,University of Iowa
Daniel Lavenu,University of Caen
Daniel Maier,Free University
Daniel P. Enemark,University of Southern California
Daniel S. Halgin,University of Kent
Daniel W. Soto,University of Southern California
Daniel Z. Levin,Rutgers University
Daniela Stoltenberg,University of Münster
Daniele Mascia,University of Bologna
Daniël Paulusma,Durham University
Dante Contreras,University of Chile
Dario Gregori,University of Torino
Darren C. Treadway,State University of New York at Buffalo
Darren M. Scott,McMaster University
David A. Bright,Flinders University
David A. Rolls,University of Melbourne
David A. Smith,University of California - Irvine
David B. Tindall,University of British Columbia
David C. Bell,Indiana University
David D. Rowlee,University of South Carolina
David E. Eagle,Duke University
David Hachen,University of Notre Dame
David Holman,University of Sheffield
David J. Roelfs,University of Louisville
David Knoke,University of Minnesota
David Krackhardt,Carnegie Mellon University
David Kretschmer,University of Mannheim
David Lazer,Harvard University
David Melamed,Ohio State University
David R. Hunter,Penn State University
David R. Schaefer,University of California - Irvine
David Savage,Massachusetts Institute of Technology
David Schoch,ETH Zurich
David Tuckett,University College London
David W. Matula,Southern Methodist University
David Willer,University of South Carolina
Davide Barrera,Utrecht University
Dawn Iacobucci,Vanderbilt University
Dean Lusher,Swinburne University of Technology
Dehai Liu,Dongbei University of Finance & Economics
Deirdre M. Kirke,National University of Ireland
Delia Baldassarri,York University
Denis Bouyssou,CNRS
Dennis Li,The University of Texas Health Science Center at Houston
Derek Kreager,Pennsylvania State University
Derek L. Hansen,Brigham Young University
Devon D. Brewer,University of Washington
Diana Mok,University of Western Ontario
Diane Felmlee,Pennsylvania State University
Dianne A. Van Hemert,Tilburg University
Diliara Valeeva,University of Amsterdam
Dimitri Fazito,Federal University of Minas Gerais
Dinnus H. M. Frijters,VU Amsterdam
Dino Dittrich,Tilburg University
Dino P. Christenson,Boston University
Djoerd Hiemstra,University of Twente
Domenico Brunetto,Politecnico di Milano
Domenico De Stefano,Ca' Foscari University of Venice
Dongkyun Im,Seoul National University
Dorothy Espelage,University of Florida
Dorottya Kisfalusi,Hungarian Academy of Sciences
Douglas D. Heckathorn,Cornell University
Douglas L. Steinley,University of Missouri
Douglas W. Lowery-North,Emory University
Drazen Cepic,University of Zadar
Duy Quang Vu,University of Melbourne
Duy Vu,University of Melbourne
Ece Batchelder,University of California - Irvine
Ed Sleebos,VU Amsterdam
Edward Bishop Smith,Northwestern University
Ee-Peng Lim,Singapore Management University
Eelke M. Heemskerk,University of Amsterdam
Eithne Quinn,University of Manchester
Elaine M. Hernandez,Indiana University
Eleonora Patacchini,Sapienza University of Rome
Eli V. Olinick,Southern Methodist University
Elisa Bellotti,University of Manchester
Elisa Jayne Bienenstock,Stanford University
Elisabeth L. Terhell,Vrije University Amsterdam
Elise Cappella,York University
Elisenda Molina,University Carlos III of Madrid
Elizabeth Costenbader,Johns Hopkins University
Ellen Harries,University of Manchester
Emily Hoagland,Cornell University
Emily Smith,University of California - Irvine
Emma McBryde,University of Melbourne
Emma S. Spiro,University of California - Irvine
Emmanuel Lazega,CNRS
Enrica Iannuzzi,University of Foggia
Enrico Bozzo,University of Udine
Enrique González-Arangüena,Universidad Complutense de Madrid
Eran Shor,McGill University
Eric D. Kolaczyk,Boston University
Eric D. Widmer,University of Geneva
Eric Giannella,University of California - Berkeley
Eric Gladstone,University of Kent
Eric J. Neuman,University of Illinois at Urbana-Champaign
Eric Quintane,University of Los Andes
Eric Rice,University of Southern California
Eric Schoon,University of Arizona
Eric Turkheimer,University of Virginia
Eric W. Welch,Arizona State University
Erik M. Volz,University of Texas at Austin
Erin Pullen,Indiana University
Esteban Moro,University Carlos III of Madrid
Eszter Berán,Catholic University
Eugen Pircalabelu,KU Leuven
Eugene C. Johnsen,University of California - Santa Barbara
Eva Huszti,University of Debrecen
Eva Jaspers,Utrecht University
Eva Kyndt,KU Leuven
Eva Vriens,Utrecht University
Evan Finley,Indiana University
Evelien Demaerschalk,University of Leuven
Eytan Adar,HP Labs
F. Marijn Stok,University of Konstanz
Fabiana Zollo,IMT School for Advanced Studies
Fabio Pammolli,Politecnico di Milano
Fang Yang,West Virginia University
Federico Bianchi,University of Brescia
Felicia F. Tian,Fudan University
Felix Reed-Tsochas,University of Oxford
Feng Shi 0005,University of Chicago
Fengjie Xie,Xi'an Jiaotong University
Feniosky Peña-Mora,Columbia University
Filip Agneessens,University of Trento
Filip Boen,KU Leuven
Flaminio Squazzoni,University of Brescia
Florian Eßer,University of Hildesheim
Florian Maire,University College Dublin
Floriana Gargiulo,CNRS
Foster Amey,Middle Tennessee State University
Francesca Grippa,University of Salento
Francesca Pallotti,University of Greenwich
Francesco Calderoni,Università Cattolica del Sacro Cuore
Francis Lee,University of California - Irvine
Francis Tuerlinckx,University of Leuven
Francisco I. Bastos,Institute of Scientific and Technological Communication & Information in Health
Frank Kee,Queen's University
Frank Tutzauer,University at Buffalo
Frank W. Takes,University of Amsterdam
Frank van Tubergen,Utrecht University
Fredrik Liljeros,Stockholm University
Frits van Merode,Maastricht University
Fruzsina Albert,Károli Gáspár University of the Reformed Church
Frédéric Varone,University of Geneva
Gabriel Otero,University of Amsterdam
Gabriele Plickert,University of Toronto
Gad Yair,The Hebrew University
Galina Daraganova,University of Melbourne
Gang Wu,Southwestern University of Finance and Economics
Garry L. Adams,Auburn University
Garry Robins,University of Melbourne
Gasper Koren,University of Ljubljana
Gbemisola Adejumo,University of Waterloo
Gemma Edwards,University of Manchester
Gene A. Shelley,Georgia State University
Geoff K. Nicholls,University of Oxford
Georg Wolff,University of Freiburg
George A. Barnett,University at Buffalo
George B. Davis,Carnegie Mellon University
George Berry,Cornell University
George Cotsonis,Emory University
George G. Vega Yon,University of Southern California
George Leckie,University of Bristol
George Loizou,University of London
George R. Barnes,University of Louisville
George Wood,University of Oxford
Gerald C. Kane,Boston College
Gerald Mollenhorst,Utrecht University
Gerda Claeskens,KU Leuven
Gerhard G. Van De Bunt,VU Amsterdam
Gerhard Krug,University of Erlangen-Nuremberg
Germà Coenders,University of Girona
Gerrit Rooks,Eindhoven University of Technology
Gert Stulp,Department of Sociology & Inter-University Center for Social Science Theory and Methodology
Gert Vande Broek,KU Leuven
Giacomo Solano,Eindhoven University of Technology
Giancarlo Ragozini,University of Naples
Giangiacomo Bravo,Linnaeus University
Gianluca Carnabuci,University of Amsterdam
Gijs Huitsing,University of Groningen
Gil Viry,University of Geneva
Gilad Ravid,Ben Gurion University of the Negev
Gina Lai,Hong Kong Baptist University
Gina S. Lovasi,Columbia University
Giorgia Di Tommaso,Sapienza University of Rome
Giovanni Stilo,University of L'Aquila
Gisele Moura,Rio de Janeiro State University
Giulia Berlusconi,National University of Ireland
Giuseppe (Joe) Labianca,University of Kent
Giuseppe Giordano,University of Salerno
Gregory Lee Phillips II,Northwestern University
Gueorgi Kossinets,Columbia University
Guido Caldarelli,IMT School for Advanced Studies
Guido Conaldi,University of Greenwich
Guillaume Favre,University Paris-Dauphine
Guillermo Owen,Naval Postgraduate School
Gábor Péli,University of Groningen
Gönül Dogan,Tilburg University
Göran Kauermann,University of Munich
Günes Ertan,University of Pittsburgh
H. Russell Bernard,University of Florida
H. T. Habekothé,University of Amsterdam
Haifeng Du,Xi'an Jiaotong University
Hannah Schmid-Petri,University of Passau
Hanno Kruse,University of Mannheim
Hans Maarse,Maastricht University
Hans Noel,Georgetown University
Hans Waege,Ghent University
Harald Wiese,University of Leipzig
Hazem Krichene,University of Hyogo
Heather Edelblute,University of Texas at San Antonio
Hein de Vries,Care and Public Health Research Institute (CAPHRI)
Helge Giese,University of Konstanz
Helian Xu,Hunan University
Henk Flap,Utrecht University
Herbert Hamers,Tilburg University
Herbert W. Hethcote,University of Iowa
Hester H. S. Moerbeek,Wageningen University
Hetty van Emmerik,Utrecht University
Hideyuki Imai,Hokkaido University
Hiroyasu Inoue,University of Hyogo
Holly B. Shakya,University of California - San Diego
Hongyi Jiang,Wake Forest University
Hongyi Li,Chinese University of Hong Kong
Hongzhong Deng,National University of Defense Technology
Hossein Akbari,Ferdowsi University of Mashhad
Hsiu Man Chen,Academia Sinica
Hsuan-Wei Lee,University of Nebraska
Hubert Buch-Hansen,Copenhagen Business School
Hugh Louch,Princeton University
Hugo Valenzuela-García,Autonomous University of Barcelona
Hui-Ju Kuo,National Taiwan University
Huso Yi,National Development and Research Institute
Hwai-Chung Ho,Academia Sinica
Hywel T. P. Williams,University of Exeter
Håkan Stattin,University of Örebro
Iain S. Weaver,University of Exeter
Ian McCulloh,United States Military Academy
Ichigaku Takigawa,Hokkaido University
Ildikó Barna,Eötvös Loránd University
Imran Chowdhury,Pace University
Ineke Maas,Utrecht University
Ines Lindner,VU Amsterdam
Inessa Levi,University of Louisville
Ingegerd Jansson,Stockholm University
Inês Peceguina,ISPA University Institute of Psychological Sciences
Ioana van Deurzen,Tilburg University
Iris Wanzenböck,Utrecht University
Isabella Gollini,University College Dublin
Isidro Maya Jariego,Sevilla University
Itaru Ishiguro,Japan Women's University
Iulia Cioroianu,University of Exeter
Ivar E. Vermeulen,University of Amsterdam
J. Ashwin Rambaran,University of Groningen
J. C. Barnes,University of Texas at Dallas
J. Jill Suitor,Louisiana State University
J. Santana,Stanford University
Jacob Dijkstra,University of Groningen
Jacob G. Foster,University of California - Los Angeles
Jacob Habinek,University of California - Berkeley
Jacob Hileman,Stockholm University
Jacob T. N. Young,Arizona State University
Jacob W. Breland,University of Idaho
Jake Bowers,University of Illinois at Urbana-Champaign
Jake Burchard,Cornell University
James A. Coutinho,Swinburne University of Technology
James A. Evans,University of Chicago
James A. Rolfsen,Creighton University
James D. Montgomery,University of Wisconsin - Madison
James D. Wilson,University of San Francisco
James H. Fowler,University of California - San Diego
James Hollway,University of Oxford
James Mac Hyman,Los Alamos National Laboratory
James Moody,Duke University
James Nastos,University of British Columbia
James P. Spillane,Northwestern University
James Pustejovsky,Northwestern University
James Sanders,Washington State University
James Stiller,University of Liverpool
Jan Kleinnijenhuis,VU Amsterdam
Jan Kornelis Dijkstra,University of Groningen
Janet M. Box-Steffensmeier,Ohio State University
Janice Yap,Singapore Management University
Jar-der Luo,Tsinghua University
Jari Saramäki,Helsinki University of Technology
Jason Baumgardner,Emory University
Jason Bello,London School of Economics and Political Science
Jason Kaufman,Harvard University
Jason M. Smith,Utah State University
Jason Owen-Smith,University of Michigan
Jason W. Morgan,Ohio State University
Jasper L. de Bie,Leiden University
Javier Borge-Holthoefer,Open University
Javier Borondo,Polytechnic University of Madrid
Javier Ávila,Autonomous University of Barcelona
Jean McGuire,Northeastern University
Jeffrey A. Hall,University of Kansas
Jeffrey A. Smith,University of Nebraska
Jeffrey C. Johnson,East Carolina University
Jeffrey Cormier,University of Western Ontario
Jeffrey Lienert,National Human Genome Research Institute
Jeffrey Reminga,Carnegie Mellon University
Jennifer A. Stoloff,University of North Carolina
Jennifer B. Unger,University of Southern California
Jennifer Golbeck,University of Maryland - College Park
Jennifer L. Glanville,University of North Carolina
Jennifer L. Merluzzi,Tulane University
Jennifer Lawlor,University of Michigan
Jennifer M. Badham,Queen's University
Jennifer Salau,Christian-Albrechts-University
Jennifer Watling Neal,Michigan State University
Jenny Chalmers,UNSW
Jens F. Binder,Nottingham Trent University
Jens Rydgren,Stockholm University
Jeong-Yoo Kim,Kyung Hee University
Jeremy M. Koster,University of Cincinnati
Jeremy Mennis,Temple University
Jeroen Bruggeman,University of Amsterdam
Jeroen K. Vermunt,Tilburg University
Jeroen Weesie,Utrecht University
Jesse M. Fagan,University of Kent
Jesse Shore,Boston University
Jessica A. Crowe,Washington State University
Jessica Vitak,University of Maryland - College Park
Ji Li,National University of Defense Technology
Ji Ma 0003,Indiana University
Ji Youn (Rose) Kim,University of Kent
Jia-Ping Huang,Shenzhen University
Jialin Hua,Beijing Jiaotong University
Jian Yu,Beijing Jiaotong University
Jichang Zhao,Beihang University
Jieting Cheng,Shandong University
Jifan Liu,Tsinghua University
Jing Huang,Dongbei University of Finance & Economics
Jing Shen,University of Mannheim
Jing-Shiang Hwang,Academia Sinica
Jo Holliday,Cardiff University
Joachim Krieter,Christian-Albrechts-University
Jochem Tolsma,Radboud University
Jodie Woolcock,University of Melbourne
Joel Martí,Autonomous University of Barcelona
Joeri M. Mol,University of Melbourne
Johan Braeken,Tilburg University
Johan H. Koskinen,University of Melbourne
Johanne Saint-Charles,University of Quebec in Montreal
Johannes Glückler,Heidelberg University
Johannes Hedtrich,University of Kiel
Johannes Zschache,University of Leipzig
John A. Schneider,University of Chicago
John Bryden,Royal Holloway University of London
John Domini,University of Florida
John Griffith,Northeastern University
John Levi Martin,University of Chicago
John Lievens,Ghent University
John M. Light,Oregon Research Institute
John M. Roberts Jr.,University of New Mexico
John P. Boyd 0002,University of California - Irvine
John R. Hipp,University of California - Irvine
John Sandberg,McGill University
John Skvoretz,University of South Florida
John Ternovski,Yale University
John W. McDonald,University of Southampton
Jon A. Krosnick,Stanford University
Jonathan Brauer,Indiana University
Jonathan H. Morgan,Duke University
Jonathan J. Forster,University of Southampton
Jonathan Stewart,Rice University
Jonathon N. Cummings,Massachusetts Institute of Technology
Joonmo Son,National University of Singapore
Joop J. Hox,University of Amsterdam
Jooske T. van Busschbach,University of Groningen
Joris Mulder,Tilburg University
Joris van der Veer,Utrecht University
Jose Manuel Sánchez-Santos,University of A Coruña
Josef Woldense,University Minnesota
Joshua D. Freilich,City University of New York
Joshua E. Marineau,Dakota State University
Josiane Chatellet,University Paris-Dauphine
José Atilano Pena-López,University of A Coruña
José Luis Iribarren,Autonomous University of Madrid
José Luis Molina,Autonomous University of Barcelona
José Ramiro Caballero Hoyos,Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security
João R. Daniel,ISPA University Institute of Psychological Sciences
Juan Carlos Losada,Polytechnic University of Madrid
Juan D. Díaz,University of Chile
Juan I. Casse,University of California - Riverside
Judith A. Effken,University of Arizona
Juha Roslakka,University of Joensuu
Jukka Nyblom,University of Joensuu
Jukka-Pekka Onnela,Oxford University
Julia Brennecke,Swinburne University of Technology
Julia Lee,University of Michigan
Juliana Cobre,USP
Julien Brailly,University Paris-Dauphine
Juliette Stehlé,CNRS
Jun Wu 0004,National University of Defense Technology
Jure Leskovec,Stanford University
Justin H. Gross,University of North Carolina
Justin H. Kirkland,University of Houston
Justus Uitermark,University of Amsterdam
Júlia Koltai,Eötvös Loránd University
Jürgen Lerner,University of Konstanz
Jürgen Pfeffer,Technical University of Munich
K. Jean Forney,Florida State University
K. Satheesh Kumar,University of Kerala
Kai J. Jonas,Georg-August-Universitaet
Karen Klein Ikkink,Vrije University Amsterdam
Karin E. Willert,University of South Carolina
Karl E. Bauman,University of North Carolina
Karl Finger,University of Kiel
Karl M. van Meter,CNRS
Karl Pillemer,Cornell University
Karl-Dieter Opp,University of Leipzig
Karl-Oskar Lindgren,Uppsala University
Katarzyna Growiec,University of Social Sciences and Humanities
Kate Eddens,University of Kent
Katherine Faust,University of California - Irvine
Kathleen M. Carley,Carnegie Mellon University
Kathleen M. O'Connor,Cornell University
Kathrin Büttner,Christian-Albrechts-University
Kathrin Lämmermann,Institute of Sociology
Kathryn McAlindon,Michigan State University
Kathryn Schiller,University at Albany
Katia Iglesias,University of Neuchâtel
Katia Petit,University of Montreal
Katja Lozar Manfreda,University of Ljubljana
Katrien Fransen,KU Leuven
Kaustav Basu,Arizona State University
Kay W. Axhausen,ETH Zurich
Kayla de la Haye,University of Southern California
Kayo Fujimoto,The University of Texas Health Science Center at Houston
Kazuo Yamaguchi,University of Chicago
Ke Xu 0001,Beihang University
Ken Sharpe,University of Melbourne
Kenneth A. Frank,Michigan State University
Kenneth S. Berenhaut,Wake Forest University
Kerstin Sailer,University College London
Kevin Lewis,Harvard University
Kevin M. Beaver,Florida State University
Kevin White 0002,University of Pennsylvania
Kimberly M. Davidson,Pennsylvania State University
Kimmo Kaski,Aalto University
King-To Yeung,The State University of New Jersey
Klarita Gërxhani,University of Amsterdam
Klaus Hamberger,CNRS
Koen Van der Bracht,Ghent University
Koen Vanbrabant,University of Leuven
Kolter Kalberg,University of Hawaii at Manoa
Krista Gile,University of Washington
Kristen J. Mills,Ohio State University
Kristin Lees Haggerty,Northeastern University
Kuishuang Feng,University of Maryland - College Park
Kurt Hornik,Institute for Statistics and Mathematics
Kwan-Liu Ma,University of California - Davis
Kwok-Leung Tsui,City University of Hong Kong
Kyle Emich,University of Delaware
Károly Takács,Linköping University
Lada A. Adamic,HP Labs
Lampros Bouranis,University College Dublin
Lars Leszczensky,University of Mannheim
Lasse Folke Henriksen,Copenhagen Business School
Laura A. Williams,University of Mississippi
Laura D. Hanish,Arizona State University
Laura M. Koehly,National Human Genome Research Institute
Laura Prota,University of Salerno
Laura Sartori,University of Bologna
Lauren Rhue,York University
Laurence Brandenberger,University of Bern
Laurence Moore,Cardiff University
Lauri Kovanen,Helsinki University of Technology
Lea Ellwardt,University of Groningen
Lei Zhang 0042,University of Minnesota
Leonie J. Pearson,University of Melbourne
Li-Ting Wang,National Taiwan Normal University
Liesbeth A. G. Mercken,Maastricht University
Liesbeth Mercken,Care and Public Health Research Institute (CAPHRI)
Lijia Ma,Xidian University
Lijun Song,Vanderbilt University
Lin Tao,Peking University
Lindsay E. Young,University of Chicago
Lindsey Trimble O'Connor,California State University Channel Islands
Ling Heng Henry Wong,University of Melbourne
Linton C. Freeman,University of California - Irvine
Lisa K. Elon,Emory University
Lise Mounier,CNRS
Lisha Yu,City University of Hong Kong
Lluís Coromina,University of Girona
Long Doan,Indiana University
Lotte Vermeij,Utrecht University
Louise Ryan,University of Sheffield
Love Bohman,Stockholm University
Luca Giommoni,Cardiff University
Lucas G. Drouhot,Cornell University
Lukas Norbutas,Utrecht University
László Lorincz,Corvinus University of Budapest
M. E. J. Newman,University of Michigan
Maarten Marx,University of Amsterdam
Maarten van Zalk,University Osnabrück
Mackenzie Hart,Simon Fraser University
Makoto Kakinaka,Hiroshima University
Manish Purohit,University of Maryland - College Park
Manuel Fischer,University of Bern
Maoguo Gong,Xidian University
Marc A. C. Sarazin,University of Oxford
Marc Punkay,University of Chicago
Marcel A. L. M. van Assen,Tilburg University
Marco Cinnirella,Royal Holloway University of London
Marco Conti,Institute of Informatics and Telematics of CNR
Marco Gonzalez,Harvard University
Marco T. Bastos,University of London
Margaret Hellard,Burnet Institute
Margaret K. Chojnacki,Barry University
Margaret Kerr,University of Örebro
Marge M. Benham-Hutchins,Texas A&M University
Maria Grazia Vigliotti,Imperial College London
Maria Prosperina Vitale,University of Salerno
Maria Rosaria D'Esposito,University of Salerno
Mariarosaria Lombardi,University of Foggia
Marie Ouellet,University of Montreal
Marie-Odile Lebeaux,CNRS
Marie-Thérèse Jourda,CNRS
Marieke Vlaemynck,University of Gent
Marieke Wissink,Maastricht University
Mariela Szwarcberg,University of Chicago
Marije Wouters,University of Amsterdam
