John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
María Guadalupe Ramírez López,"Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security, UMF No. 93, IMSS, Av. Tonla 121, CP 45 400 Tonala, Jalisco, Mexico"
Annie Cody Holdren,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, CA 90095-1551, USA"
Michael Johnston,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, CA 90095-1551, USA"
Christian Tallberg,"Department of Statistics, Stockholm University, Stockholm, Sweden"
Jodie Woolcock,"Department of Psychology, School of Behavioural Science, University of Melbourne, Melbourne, Vic. 3010, Australia"
Masaki Tomochi,"Faculty of Policy Studies, Chuo University, 742-1 Hachioji, Tokyo 192-0393, Japan"
W. Craig Carter,"Department of Sociology and Anthropology, Middle Tennessee State University, Murfreesboro, TN 37129, USA"
Scott L. Feld,"Department of Sociology and Anthropology, Purdue University, West Lafayette, IN 47907, USA"
George A. Barnett,"Department of Communication, School of Informatics, University at Buffalo (SUNY), 331 Baldy Hall, Buffalo, NY 14260, USA"
Rick Grannis,"Department of Sociology, University of California - Los Angeles, USA"
Elizabeth Costenbader,"Department of Population and Family Health Sciences, Johns Hopkins Bloomberg School of Public Health, Johns Hopkins University, 615 N. Wolfe St., Baltimore, MD 21205, USA"
Martin Van Der Gaag,"ICS, Free University, Amsterdam, The Netherlands"
M. E. J. Newman,"Center for the Study of Complex Systems, University of Michigan, Ann Arbor, MI 48109-1120, USA"
Barbara Zemljic,"Radiotelevision Slovenija, Kolodvorska 2, SI-1550 Ljubljana, Slovenia"
Rebecca Goolsby,"Office of Naval Research-Code 342, Cognitive, Neural, and Social S&T Division, USA"
Alden S. Klovdahl,"School of Social Sciences, Australian National University, The Faculties, Haydon-Allen 2171, Canberra, ACT 0200, Australia"
Charles Kadushin,"Cohen Center for Modern Jewish Studies and Heller School of Social Policy and Management, Brandeis University, Waltham, MA 02154, USA"
Lada A. Adamic,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Eytan Adar,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Simona Bignami-Van Assche,"Harvard University Initiative for Global Health, 104 Mt. Auburn Street, Cambridge, MA 02138, USA"
Rance P. L. Lee,"Department of Sociology, The Chinese University of Hong Kong, Hong Kong"
Karl M. van Meter,"LASMAS-CNRS, 59 ru Pouchet, 75017 Paris, France"
Dominique Cardon,"Laboratoire de sociologie des usages, France Télécom R&D, France"
Fabien Granjon,"Laboratoire de sociologie des usages, France Télécom R&D, France"
Christian Licoppe,"Ecole Nationale Supérieure des Télécommunications, Paris, France"
Zbigniew Smoreda,"France Télécom R&D/SUSI, 38 rue du Général Leclerc, 92794 Issy-les-Moulineaux Cedex 9, France"
Marie-Odile Lebeaux,"Ingénieur de recherche au CNRS, Lasmas, Maison de la recherche en Sciences humaines, Esplanade de la Paix, 14032 université de caen, University of Caen Cedex, France"
Daniel Lavenu,"Centre National de la Recherche Scientifique, Laboratoire d'Analyse Sociologique et des Méthodes Appliquées aux Sciences Sociales, MRSH, Université de université de caen, University of Caen, 14032 université de caen, University of Caen, France"
Norman Braun,"Department of Sociology, University of Munich, Konradstr. 6, 80801 Munich, Germany"
Thomas Gautschi,"Department of Sociology, University of Bern, Lerchenweg 36, 3000 Bern 9, Switzerland"
Hetty van Emmerik,"Utrecht University, Heidelberglaan 1, 3584 CS Utrecht, The Netherlands"
Jonathon N. Cummings,"Sloan School of Management, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA"
Monica C. Higgins,"Graduate School of Business Administration, Harvard University, USA"
H. Russell Bernard,"Department of Anthropology, University of Florida, Gainesville, FL 32610, USA"
Mark House,"Bureau of Economic and Business Research, University of Florida, Gainesville, FL 32611-7145, USA"
Sam Field,"University of Texas at Austin, USA"
Kenneth A. Frank,"Room 462 Erickson Hall, Michigan State University, East Lansing, MI 48824-1034, USA"
Kathryn Schiller,"University at Albany, SUNY, USA"
Catherine Riegle-Crumb,"University of Texas at Austin, USA"
Chandra Muller,"University of Texas at Austin, USA"
Robert J. Beck,"University of California - Irvine, CA 92697, USA"
Yuki Yasuda,"Faculty of Economics, Graduate School of Economics, The University of Tokyo, 3-34-3 Hongo, Bunkyo-Ku 8F, Tokyo 113-0033, Japan"
Christopher Marquis,"Organizational Behavior Unit, Harvard Business School, Harvard University, Boston, MA 02163, USA"
Tackseung Jun,"Department of Economics, Kyung Hee University, 1 Hoegidong, Dongdaemunku, Seoul 130-701, Republic of Korea"
Jeong-Yoo Kim,"Department of Economics, Kyung Hee University, 1 Hoegidong, Dongdaemunku, Seoul 130-701, Republic of Korea"
Beom Jun Kim,"Ajou University, Seoul, Republic of Korea"
Moo Young Choi,"Seoul National University and KIAS, Seoul, Republic of Korea"
Gueorgi Kossinets,"Department of Sociology and Institute for Social and Economic Research and Policy, Columbia University, 420 W. 118th Street, 8th Floor, Mail Code 3355, New York, NY 10027, USA"
Peter V. Marsden,"Department of Sociology, Faculty of Arts and Sciences, Harvard University, 630 William James Hall, Cambridge, MA 02138, USA"
Naoki Masuda,"Laboratory for Mathematical Neuroscience, RIKEN Brain Science Institute, 2-1 Hirosawa, Wako, Saitama 351-0198, Japan"
Norio Konno,"Faculty of Engineering, Yokohama National University, 79-5 Tokiwadai, Hodogaya, Yokohama 240-8501, Japan"
Charles Carroll,"Faculty of Management and Organization, University of Groningen, P.O. Box 800, 9700 AV Groningen, The Netherlands"
King-To Yeung,"Rutgers, The State University of New Jersey, Department of Sociology, New Jersey, USA"
Alayne M. Adams,"Heilbrunn Center for Population and Family Health, Mailman School of Public Health, Columbia University, New York, NY 10032, USA"
Sangeetha Madhavan,"School of Social Sciences, University of the Witwatersrand, Johannesburg, South Africa"
Dominique Simon,"Center for Addiction Recovery, 131 Silver Lane, Sunderland, MA 01375, USA"
Margaret K. Chojnacki,"Department of Communication, School of Arts and Sciences, Barry University, 11300 NE 2nd Avenue, Miami Shores, FL 33161-6695, USA"
Pauline W. Hoffmann,"Department of Communication, 359 Baldy Hall, University at Buffalo, Buffalo, NY 14260, USA"
Tadeusz Sozanski,"Institute of Sociology, Jagiellonian University, 52 Grodzka, 31-044 Kraków, Poland"
Hans Waege,"Ghent University, Ghent, Belgium"
John Lievens,"Ghent University, Ghent, Belgium"
Ana Salomé García Muñiz,"University of Oviedo, Faculty of Economics, Department of Applied Economics, Avd. Cristo s/n, 33071 Oviedo, Asturias, Spain"
Carmen Ramos Carvajal,"University of Oviedo, Faculty of Economics, Department of Applied Economics, Avd. Cristo s/n, 33071 Oviedo, Asturias, Spain"
Gábor Péli,"University of Groningen, Faculty of Economics, P.O.B. 800, 9700 AV Groningen, The Netherlands"
Karl E. Bauman,"Department of Health Behavior and Health Education, The University of North Carolina at Chapel Hill, USA"
Andrea M. Hussong,"Department of Psychology, The University of North Carolina at Chapel Hill, USA"
Vangie A. Foshee,"Department of Health Behavior and Health Education, The University of North Carolina at Chapel Hill, USA"
Elisabeth L. Terhell,"Faculty of Social Sciences, Vrije Universiteit,Vrije University Amsterdam, De Boelelaan 1081, 1081 HV Amsterdam, The Netherlands"
Marjolein I. Broese van Groenou,"Faculty of Social Sciences, Vrije Universiteit, Vrije University Amsterdam, De Boelelaan 1081, 1081 HV Amsterdam, The Netherlands"
Theo van Tilburg,"Faculty of Social Sciences, Vrije Universiteit, Vrije University Amsterdam, De Boelelaan 1081, 1081 HV Amsterdam, The Netherlands"
Matthijs Kalmijn,"Department of Social and Cultural Sciences, Tilburg University, P.O. Box 90.153, 5000 LE, Tilburg, The Netherlands"
Jeroen K. Vermunt,"Department of Methodology and Statistics, Tilburg University, P.O. Box 90.153, 5000 LE, Tilburg, The Netherlands"
Trevor I. Fenner,"School of Computer Science and Information Systems, Birkbeck College, University of London, London WC1E 7HX, UK"
Mark Levene,"School of Computer Science and Information Systems, Birkbeck College, University of London, London WC1E 7HX, UK"
George Loizou,"School of Computer Science and Information Systems, Birkbeck College, University of London, London WC1E 7HX, UK"
James Stiller,"British Academy Centenary Research Project, School of Biological Sciences, University of Liverpool, Liverpool L69, UK"
John W. McDonald,"Southampton Statistical Sciences Research Institute, University of Southampton, Southampton SO17 1BJ, United Kingdom"
Peter W. F. Smith,"Southampton Statistical Sciences Research Institute, University of Southampton, Southampton SO17 1BJ, United Kingdom"
Jonathan J. Forster,"Southampton Statistical Sciences Research Institute, University of Southampton, Southampton SO17 1BJ, United Kingdom"
Cynthia Giguère,"School of Criminology, Université de Montréal, University of Montreal, C.P. 6128, Succursale Centre-ville, Montreal, Que. H3C-3J7, Canada"
Katia Petit,"School of Criminology, Université de Montréal, University of Montreal, C.P. 6128, Succursale Centre-ville, Montreal, Que. H3C-3J7, Canada"
Mark Handcock,"Department of Statistics, University of Washington, Seattle, USA"
David R. Hunter,"Penn State University, United States"
Steven M. Goodreau,"University of Washington, Department of Anthropology and Center for Studies in Demography and Ecology, Washington, United States"
Frank Tutzauer,"Department of Communication, 359 Baldy Hall, University at Buffalo, Buffalo, NY 14260, USA"
David C. Bell,"Department of Sociology, Indiana University-Purdue University Indianapolis (IUPUI), 425 University Blvd., Indianapolis, IN 46202-5140, United States"
Benedetta Belli-McQueen,"Center for Success and Independence Houston, TX, United States"
Ali Haider,"Karachi, Pakistan"
Peter D. Killworth,"Division for Ocean Circulation, National Oceanography Centre, Southampton, United Kingdom"
James Rennell,"Division for Ocean Circulation, National Oceanography Centre, Southampton, United Kingdom"
Amalya L. Oliver,"Department of Sociology and Anthropology, The Hebrew University, Jerusalem, Israel"
Yuval Kalish,"Department of Sociology and Anthropology, The Hebrew University, Jerusalem, Israel"
Gad Yair,"Department of Sociology and Anthropology, The Hebrew University, Jerusalem, Israel"
Marina Hennig,"Humboldt-Universität zu Berlin, Humboldt University of Berlin, Philosophische Fakultät III, Institut für Sozialwissenschaften, Universitätsstrasse 3b, 10117 Berlin, Germany"
Gabriele Plickert,"NetLab, Department of Sociology, University of Toronto, Canada"
Rochelle R. Côté,"NetLab, Department of Sociology, University of Toronto, Canada"
Diana Mok,"Department of Geography, University of Western Ontario, London, Canada"
Ranu Basu,
Jessica A. Crowe,"Department of Sociology, Washington State University, PO Box 644020, Pullman, WA 99164-4020, United States"
Davide Barrera,"ICS/Department of Sociology, Utrecht University, Heidelberglaan 2, 3584 CS Utrecht, The Netherlands"
Silvia Snidero,"Department of Statistics and Applied Mathematics, University of Torino, Italy"
Bruno Morra,"Department of Otorhinolaryngology, Hospital “S. Giovanni Battista”, Torino, Italy"
Roberto Corradetti,"Department of Statistics and Applied Mathematics, University of Torino, Italy"
Dario Gregori,"Department of Public Health and Microbiology, University of Torino, Via Santona 5 bis, 10126 Torino, Italy"
Sara Y. Del Valle,"D-3, Systems Engineering & Integration (MS B262), Los Alamos National Laboratory, Los Alamos, NM 87545, USA"
James Mac Hyman,"T-7, Mathematical Modeling & Analysis (MS B284), Los Alamos National Laboratory, Los Alamos, NM 87545, USA"
Herbert W. Hethcote,"Department of Applied Mathematical & Computational Sciences, University of Iowa, 14 McLean Hall, Iowa City, IA 52242, USA"
Stephen G. Eubank,"CCS-5, Discrete Simulation Sciences (MS M997), Los Alamos National Laboratory, Los Alamos, NM 87545, USA"
James D. Montgomery,"Department of Sociology, University of Wisconsin - Madison, 1180 Observatory Drive, Madison, WI 53706, United States"
Soong Moon Kang,"Department of Management Science and Innovation, University College London, Gower Street, London WC1E 6BT, UK"
Donald Steiny,"131 Felix Street #15, CA 95060, United States"
Tucker McGrimmon,"University of South Carolina, United States"
Sangick Jeon,"Department of Political Science, Stanford University, 616 Serra Street, Encina Hall West, Room 100, Stanford, CA 94305, United States"
Matthieu Latapy,"LIAFA, CNRS and Université Paris 7, 2 Place Jussieu, 75005 Paris, France"
Clémence Magnien,"CREA, CNRS and Ecole Polytechnique, 5 rue Descartes, 75005 Paris, France"
Nathalie Del Vecchio,"LARGEPA, Université Paris 2, University Paris 2, 13 Avenue Bosquet, 75007 Paris, France"
Lluís Coromina,"Department of Economics, University of Girona, Faculty of Economics, Campus Montilivi, 17071 Girona, Spain"
Jaume Guia,"Department of Organization, Business Management and Product Design, Faculty of Tourism, Pujada dels Alemanys 4, 17071 Girona, Spain"
Brian Carolan,"Department of Education, College of Staten Island, The City University of New York (CUNY), Building 3S-224, 2800 Victory Boulevard, Staten Island, NY 10314, United States"
Gbemisola Adejumo,"University of Waterloo, Canada"
P. Robert Duimering,"University of Waterloo, Canada"
Zhehui Zhong,"University of Waterloo, Canada"
Fengjie Xie,"School of Management, Xi'an Jiaotong University, Xi'an, China"
Wentian Cui,"School of Management, Xi'an Jiaotong University, Xi'an, China"
Rolf Ziegler,"Ludwig-Maximilians-University, University of Munich, Munich, Germany"
Rafael T. Mikolajczyk,"Department of Public Health Medicine, School of Public Health, University of Bielefeld, PO Box 100131, D-33501 Bielefeld, Germany"
Mirjam Kretzschmar,"Department of Public Health Medicine, School of Public Health, University of Bielefeld, PO Box 100131, D-33501 Bielefeld, Germany"
Marie-Thérèse Jourda,"CEPEL-CNRS, Montpellier, France"
Rafaël Stofer,"University of Paris-Dauphine, University Paris Dauphine, CERSO, France"
Béla Janky,"Budapest University of Technology and Economics, Department of Sociology and Communication, Hungary"
George B. Davis,"CASOS, ISRI, SCS, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15223, USA"
Vasja Vehovar,"University of Ljubljana, Faculty of Social Sciences, Kardeljeva ploščad 5, 1000 Ljubljana, Slovenia"
Katja Lozar Manfreda,"University of Ljubljana, Faculty of Social Sciences, Kardeljeva ploščad 5, 1000 Ljubljana, Slovenia"
Gasper Koren,"University of Ljubljana, Faculty of Social Sciences, Kardeljeva ploščad 5, 1000 Ljubljana, Slovenia"
Charles F. Mann,"Department of Computer Science and Engineering, Southern Methodist University, United States"
David W. Matula,"Department of Computer Science and Engineering, Southern Methodist University, United States"
Eli V. Olinick,"Department of Engineering Management, Information and Systems, Southern Methodist University, United States"
Naomi Braine,"Beth Israel Medical Center and National Development and Research Institute, Inc., United States"
Caroline Acker,"Carnegie Mellon University, United States"
Cullen Goldblatt,"Beth Israel Medical Center, United States"
Huso Yi,"National Development and Research Institute, Inc., United States"
Samuel Friedman,"National Development and Research Institute, Inc., United States"
Don C. DesJarlais,"Beth Israel Medical Center, United States"
Peter Totterdell,"Institute of Work Psychology, University of Sheffield, Sheffield S10 2TN, England, United Kingdom"
David Holman,"Institute of Work Psychology, University of Sheffield, Sheffield S10 2TN, England, United Kingdom"
Amy Hukin,"Institute of Work Psychology, University of Sheffield, Sheffield S10 2TN, England, United Kingdom"
Antonio Páez,"Centre for Spatial Analysis/School of Geography and Earth Sciences, McMaster University, Canada"
Darren M. Scott,"Centre for Spatial Analysis/School of Geography and Earth Sciences, McMaster University, Canada"
Erik M. Volz,"Section of Integrative Biology, University of Texas at Austin, Austin, United States"
Kevin Lewis,"Department of Sociology, Harvard University, United States"
Jason Kaufman,"Department of Sociology, Harvard University, United States"
Marco Gonzalez,"Department of Sociology, Harvard University, United States"
Andreas Wimmer,"Department of Sociology, University of California - Los Angeles, United States"
Nicholas Christakis,"Department of Sociology, Harvard University, United States"
Ken Sharpe,"Department of Mathematics and Statistics, University of Melbourne, Australia"
Allan Clifton,"Department of Psychology, Vassar College, Box 127, 124 Raymond Avenue, Poughkeepsie, NY 12604-0127, United States"
Eric Turkheimer,"Department of Psychology, University of Virginia, United States"
Thomas F. Oltmanns,"Department of Psychology, Washington University in St. Louis, United States"
Andrea Röper,"Utrecht University, Department of Sociology/ICS-Research School, Heidelberglaan 2, 3584 CS Utrecht, The Netherlands"
Krista Gile,"Department of Statistics, University of Washington, Box 354322, Seattle, WA 98195-4332, United States"
Martijn J. Burger,"Department of Applied Economics, Erasmus University Rotterdam, The Netherlands"
Ruud Hendrickx,"CentER and Department of Econometrics and Operations Research, Tilburg University, The Netherlands"
René van den Brink,"Department of Econometrics and Tinbergen Institute, Free University, Amsterdam, The Netherlands"
Gönül Dogan,"Department of Methodology and Statistics, Tilburg University, The Netherlands"
Arnout van de Rijt,"Department of Sociology, Stony Brook University, United States"
Thomas V. Pollet,"Department of Social and Organizational Psychology, University of Groningen, The Netherlands"
Toon Kuppens,"Division of Social and Organizational Psychology, Université catholique de Louvain, Catholic University of Louvain, Belgium"
Pietro Panzarasa,"Queen Mary University of London, School of Business and Management, Mile End Road, E1 4NS London, UK"
Sebastian Schnettler,"Center for Research on Inequalities and the Life Course, Department of Sociology, Yale University, New Haven, CT, United States"
Eric D. Kolaczyk,"Dept. of Mathematics and Statistics, Boston University, 111 Cummington Street, Boston, MA 02215, USA"
David B. Chua,"State Street Bank, Boston, MA, USA"
Marc Barthelemy,"Commissariat à l'Energie Atomique, Centre d'Etudes de Bruyères Le Châtel, Bruyères Le Châtel, France"
Pavel N. Krivitsky,"University of Washington, Seattle, United States"
Mark S. Handcock,"University of Washington, Seattle, United States"
Adrian E. Raftery,"University of Washington, Seattle, United States"
Philip Andrew Sinclair,"Manchester Metropolitan University, John Dalton Building, Chester Street, Manchester M1 5GD, United Kingdom"
James Pustejovsky,"Northwestern University, School of Education and Social Policy, 2120 Campus Drive, Evanston, IL 60201, USA"
James P. Spillane,"Northwestern University, School of Education and Social Policy, 2120 Campus Drive, Evanston, IL 60201, USA"
Lotte Vermeij,"The Netherlands Institute for Social Research, The Netherlands"
Chris Baerveldt,"Department of Child and Adolescent Studies, University of Utrecht, The Netherlands"
Riitta Toivonen,"Department of Biomedical Engineering and Computational Science (BECS), Helsinki University of Technology, P.O. Box 9203, FIN-02015 HUT, Finland"
Lauri Kovanen,"Department of Biomedical Engineering and Computational Science (BECS), Helsinki University of Technology, P.O. Box 9203, FIN-02015 HUT, Finland"
Mikko Kivelä,"Department of Biomedical Engineering and Computational Science (BECS), Helsinki University of Technology, P.O. Box 9203, FIN-02015 HUT, Finland"
Jukka-Pekka Onnela,"Physics Department, Clarendon Laboratory, Oxford University, Oxford OX1 3PU, United Kingdom"
Jari Saramäki,"Department of Biomedical Engineering and Computational Science (BECS), Helsinki University of Technology, P.O. Box 9203, FIN-02015 HUT, Finland"
Francesca Grippa,"eBusiness Management Section S.S. ISUFI, University of Salento, Lecce, Italy"
Peter A. Gloor,"MIT Center for Collective Intelligence, Cambridge, MA, USA"
Andrew T. Stephen,"Marketing, INSEAD, Boulevard de Constance, Fontainebleau 77305, France"
Olivier Toubia,"Business, Columbia University, Graduate School of Business, 3022 Broadway, Uris 522, New York, NY 10027, USA"
Jean-Philippe Cointet,"ISC-PIF (Institut des Systémes Complexes de Paris-Île-de-France), 57-59 rue Lhomond, F-75005 Paris, France"
Richard A. Fabes,"Arizona State University, United States"
Laura D. Hanish,"Arizona State University, United States"
Carol Lynn Martin,"Arizona State University, United States"
