Kathleen M. Carley,"Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, PA, USA, Center for the Computational Analysis of Social and Organizational Systems, Carnegie Mellon University, Pittsburgh, PA, USA, H.J. Heinz III School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, PA, USA"
Wouter de Nooy,"Department of History and Arts, Erasmus University, Erasmus University Rotterdam, PO Box 1738, 3000 DR Rotterdam, Netherlands"
Stefanie Bailey,"Department of Sociology, Stanford University, Stanford, CA 94305, USA"
Peter V. Marsden,"Department of Sociology, Harvard University, Cambridge, MA, USA"
Katherine Faust,"Department of Sociology, University of South Carolina, Columbia, SC, USA"
Barbara Entwisle,"Department of Sociology and Carolina Population Center, University of North Carolina, Chapel Hill, NC, USA"
Ronald R. Rindfuss,"Department of Sociology and Carolina Population Center, University of North Carolina, Chapel Hill, NC, USA"
Stephen J. Walsh,"Department of Geography, University of North Carolina, Chapel Hill, NC, USA"
Yothin Sawangdee,"Institute for Population and Social Research, Mahidol University, Salaya, Thailand"
Ingegerd Jansson,"Department of Statistics, Stockholm University, 106 91 Stockholm, Sweden"
Devon D. Brewer,"Alcohol and Drug Abuse Institute, University of Washington, 3937 15th Avenue N.E., Seattle, WA 98105, USA"
Cynthia M. Webster,"School of Marketing, University of New South Wales, Sydney, NSW 2052, Australia"
Stephen P. Borgatti,"Department of Organization Studies, Carroll School of Management, Boston College, Chestnut Hill, MA 02467, USA"
Martin G. Everett,"School of Computing and Mathematical Sciences, University of Greenwich, 30 Park Row, London SE10 9LS, UK"
Martin G. Everett,"University of Greenwich School of Computing and Mathematical Sciences, 30 Park Row, London SE10 9LS UK"
Stephen P. Borgatti,"Department of Organization Studies, Carroll School of Management, Boston College, Chestnut Hill, MA 02467 USA"
Ronald S. Burt,"Graduate School of Business, University of Chicago and INSEAD, Chicago, IL 60637, USA"
Devon D. Brewer,"Alcohol and Drug Abuse Institute, University of Washington, 3937 15th Avenue N.E., Seattle, WA 98105, USA"
Hugh Louch,"Princeton University, Princeton, NJ 08544, USA"
John M. Roberts Jr.,"Department of Sociology, University of New Mexico Albuquerque, NM 87131, USA"
Sabina Kef,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
Joop J. Hox,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
H. T. Habekothé,"Department of Education, University of Amsterdam, Amsterdam, The Netherlands"
Kazuo Yamaguchi,"NORC/The University of Chicago, Chicago, IL 60637, USA"
Bruce C. Straits,"Department of Sociology, University of California - Santa Barbara, Santa Barbara, CA 93106-9430, USA"
René van den Brink,"Department of Econometrics, Tilburg University, PO Box 90153, 5000 LE Tilburg, Netherlands"
Robert P. Gilles,"Department of Economics, Virginia Polytechnic Institute and State University, Blacksburg, VA 24061, USA"
Lucia Falzon,"Communications Division, Defence Science and Technology Organisation, P.O. Box 1500, Salisbury, SA 5108, Australia"
Vladimir Batagelj,"Department of Mathematics, FMF, University of Ljubljana, Jadranska 19, 1000 Ljubljana, Slovenia"
Andrej Mrvar,"Department of Mathematics, FMF, University of Ljubljana, Jadranska 19, 1000 Ljubljana, Slovenia"
Robert Poulin,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Marie-Claude Boily,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Benoît R. Mâsse,"CHA, Pavillon St. Sacrement, Groupe de Recherche en Épidémiologie, 1050 Chemin Ste-Foy, Québec, Québec, Canada G1S 4L8"
Norman P. Hummon,"Department of Sociology, University of Pittsburgh, 2E22 Wesley W. Posvar Hall, Pittburgh, PA 15260 USA"
Robb Willer,"Department of Sociology, University of Iowa, Iowa City, IA 52242 USA"
David Willer,"University of South Carolina, SC, USA"
John M. Roberts Jr.,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131 USA"
Micha Mandel,"Department of Statistics, The Hebrew University, Jerusalem, Israel"
J. Jill Suitor,"Department of Sociology, Louisiana State University, Baton Rouge, LA 70803, USA"
Karl Pillemer,"Cornell University, Ithaca, NY 14853, USA"
Paul Nieuwbeerta,"Utrecht University, P.O. Box 80125, 3508 TC Utrecht, The Netherlands"
Henk Flap,"Utrecht University, P.O. Box 80125, 3508 TC Utrecht, The Netherlands"
Kevin White 0002,"Population Studies Center, University of Pennsylvania, Philadelphia, PA, USA"
Susan Cotts Watkins,"Population Studies Center, University of Pennsylvania, Philadelphia, PA, USA"
Britta Ruhnau,"Department of Operations Research, Universität Dortmund, University of Dortmund, D-44221 Dortmund, Germany"
Devon D. Brewer,"Alcohol and Drug Abuse Institute, University of Washington, 3937 15th Avenue N.E. Seattle, WA 98105, USA"
Garry Robins,"Department of Psychology, University of Melbourne, Melbourne, Vic. 3010, Australia"
Peter Elliott,"Department of Psychology, Swinburne University of Technology, Hawthorn, Vic. 3122, Australia"
Philippa Pattison,"Department of Psychology, University of Melbourne, Melbourne, Vic. 3010, Australia"
Carter T. Butts,"Department of Social and Decision Sciences, Center for the Computational Analysis of Social and Organizational Systems, Carnegie Mellon University, Pittsburgh, PA 15213, USA"
Gina Lai,"Department of Sociology, Hong Kong Baptist University, Kowloon Tong, Hong Kong, PR China"
John P. Boyd 0002,"Department of Anthropology, University of California - Irvine, 3151 Social Science Plaza, Irvine, CA 92697, USA"
Kai J. Jonas,"Georg-August-Universitaet, Goettingen 37073, Germany"
Valentina Hlebec,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1001 Ljubljana, Slovenia"
Anuska Ferligoj,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1001 Ljubljana, Slovenia"
Min-Woong Sohn,"Department of Health Studies, The University of Chicago, 5841 S Maryland Avenue MC 2007, Chicago, IL 60637 1470, USA"
Noah E. Friedkin,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
Phillip Bonacich,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, Los Angeles, CA 90095-1551, USA"
Paulette Lloyd,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, Los Angeles, CA 90095-1551, USA"
Ove Frank,"Department of Statistics, Stockholm University, S-106 91 Stockholm, Sweden"
Rob Cross,"University of Virginia and IBM’s Institute of Knowledge Management, 55 Cambridge Park-Way, LDB 3E, Cambridge, MA 02142, USA"
Stephen P. Borgatti,"Boston College, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA"
Andrew Parker 0003,"IBM’s Institute for Knowledge Management, 55 Cambridge Parkway LDB 3E, Cambridge, MA 02142, USA"
Vladimir Batagelj,"Department of Mathematics, University of Ljubljana, FMF, Jadranska 19, 1000 Ljubljana, Slovenia"
Andrej Mrvar,"Department of Mathematics, University of Ljubljana, FMF, Jadranska 19, 1000 Ljubljana, Slovenia"
Michael Bourgeois,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
Noah E. Friedkin,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
James Moody,"Department of Sociology, The Ohio State University, 372 Bricker Hall, 300 North Oval Mall, Columbus, OH 43210, USA"
Song Yang,"Department of Sociology, 909 Social Sciences Building, University of Minnesota, Minneapolis, MN 55455, USA"
David Knoke,"Department of Sociology, 909 Social Sciences Building, University of Minnesota, Minneapolis, MN 55455, USA"
Henk Flap,"Department of Sociology/ICS, Utrecht University, Heidelberglaan 1, NL 3584 CS Utrecht, The Netherlands"
Beate Völker,"Department of Sociology/ICS, Utrecht University, Heidelberglaan 1, NL 3584 CS Utrecht, The Netherlands"
Tina Kogovsek,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Anuska Ferligoj,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Germà Coenders,"University of Girona, Girona, Spain"
Willem E. Saris,"University of Amsterdam, Amsterdam, The Netherlands"
Roger Th. A. J. Leenders,"School of Management and Organization, Cluster of Business Development, University of Groningen, Landleven 5, 9747 AD Groningen, The Netherlands"
Gina Lai,"Department of Sociology, Hong Kong Baptist University, Kowloon Tong, Kowloon, Hong Kong"
Odalia Wong,"Department of Sociology, Hong Kong Baptist University, Kowloon Tong, Kowloon, Hong Kong"
Charles Kadushin,"Brandeis University, USA"
Patrick Doreian,"Department of Sociology, University of Pittsburgh, 2G24 WWPH Pittsburgh, PA 15260, USA"
Brian McCue,"4915 Cherokee Avenue, Alexandria, VA 22312, USA"
Martin Ruef,"Department of Sociology, University of North Carolina, Chapel Hill, NC 27599-3210, USA"
Kazuo Yamaguchi,"Department of Sociology, University of Chicago, 1126 E 59th Street, Chicago, IL 60637, USA"
Devon D. Brewer,"Alcohol and Drug Abuse Institute, University of Washington, 1107 NE 45th Street, Suite 120, Washington, WA 98105-4631, USA"
Jeffrey C. Johnson,"East Carolina University, Greenville, USA"
Susan C. Weller,"University of Texas Medical Branch, Gelveston, USA"
John M. Roberts Jr.,"Department of Sociology, University of New Mexico, Albuquerque, NM 87131, USA"
Timothy J. Brazill,"Department of Sociology, Mercer University, 1400 Coleman Avenue, Macon, GA 31207, USA"
Bernard Grofman,"School of Social Sciences, University of California - Irvine, Irvine, CA, USA"
Katherine Faust,"Department of Sociology, University of South Carolina, 3265 Social Sciences Plaza B, Irvine, CA 92697, USA"
Karin E. Willert,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
David D. Rowlee,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
John Skvoretz,"Department of Sociology, University of South Carolina, Columbia, SC 29208, USA"
Ece Batchelder,"School of Social Sciences and Institute for Brain Aging and Dementia, University of California - Irvine, Irvine, CA 92697, USA"
David Krackhardt,"The Heinz School of Public Policy and Management, and The Graduate School of Industrial Administration, Carnegie Mellon University, Pittsburgh, PA, USA"
Martin Kilduff,"Department of Management and Organization, Smeal College of Business Administration, The Pennsylvania State University, University Park, PA 16802, USA"
Jeffrey C. Johnson,"Department of Sociology, East Carolina University, Brewster A-416, 10th Street, Greenville, NC 27858, USA"
Michael K. Orbach,"Duke University, Durham, NC, USA"
Noah E. Friedkin,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
David Krackhardt,"Heinz School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, PA, USA"
John P. Boyd 0002,"Department of Anthropology, University of California - Irvine, 3151 Social Science Plaza, Irvine, CA 92697-5100, USA"
Ronald S. Burt,"Department of Sociology, Graduate School of Business, University of Chicago, Chicago, IL 60637, USA"
Scott L. Feld,"Department of Sociology, Louisiana State University, Baton Rouge, LA 70803, USA"
William C. Carter,"Cecil G. Sheps Center for Health Services at the University of North Carolina, Chapel Hill, NC, USA"
Ove Frank,"Department of Statistics, Stockholm University, S-10691 Stockholm, Sweden"
Noah E. Friedkin,"Department of Sociology, University of California - Santa Barbara, CA 93106, USA"
Eugene C. Johnsen,"Department of Mathematics, University of California - Santa Barbara, CA, USA"
Peter V. Marsden,"Department of Sociology, Harvard University, 630 William James Hall, 33 Kirkland Street, Cambridge, MA 02138, USA"
Philippa Pattison,"Department of Psychology, University of Melbourne, Parkville, Vic. 3010, Australia"
Ronald L. Breiger,"Department of Sociology, University of Arizona, Tucson, AZ, USA"
Peter V. Marsden,"Department of Sociology, Harvard University, 630 William James Hall, 33 Kirkland Street, Cambridge, MA 02138, USA"
Norman P. Hummon,"Department of Sociology, University of Pittsburgh, 2J22 Wesley W. Posvar Hall, Pittsburgh, PA 15260, USA"
Patrick Doreian,"Department of Sociology, University of Pittsburgh, 2J22 Wesley W. Posvar Hall, Pittsburgh, PA 15260, USA"
Maarten Marx,"Language and Inference Technology Group, ILLC, Universiteit van Amsterdam, University of Amsterdam, Nieuwe Achtergracht 166, 1018 WV Amsterdam, The Netherlands"
Michael Masuch,"Language and Inference Technology Group, ILLC, Universiteit van Amsterdam, University of Amsterdam, Nieuwe Achtergracht 166, 1018 WV Amsterdam, The Netherlands"
Hester H. S. Moerbeek,"Department of Sociology of Consumers and Households, Wageningen University, Wageningen, The Netherlands"
Ariana Need,"Department of Sociology, University of Nijmegen, Nijmegen, The Netherlands"
Mark E. J. Newman,"Santa Fe Institute, 1399 Hyde Park Road, Santa Fe, NM 87501, USA"
Jeroen Bruggeman,"Department of Sociology and Anthropology, Universiteit van Amsterdam, University of Amsterdam, Oudezijds Achterburgwal 185, 1012 DK Amsterdam, The Netherlands"
Gianluca Carnabuci,"Department of Sociology and Anthropology, Universiteit van Amsterdam, University of Amsterdam, Oudezijds Achterburgwal 185, 1012 DK Amsterdam, The Netherlands"
Ivar E. Vermeulen,"Applied Logic Laboratory, Universiteit van Amsterdam, University of Amsterdam, Nieuwe Achtergracht 166, 1018 VW Amsterdam, The Netherlands"
Carter T. Butts,"Department of Sociology, Institute for Mathematical Behavioral Sciences, University of California - Irvine, CA 92697, USA"
Peter D. Killworth,"James Rennell Division, Southampton Oceanography Centre, European Way, Southampton, Hants SO14 3ZH, UK"
Christopher McCarty,"University of Florida, Gainesville, FL, USA"
H. Russell Bernard,"University of Florida, Gainesville, FL, USA"
Eugene C. Johnsen,"University of California - Santa Barbara, CA, USA"
John Domini,"University of Florida, Gainesville, FL, USA"
Gene A. Shelley,"Georgia State University, Atlanta, GA, USA"
George R. Barnes,"Department of Mathematics, University of Louisville, Louisville, KY 40292, USA"
Patricia B. Cerrito,"Department of Mathematics, University of Louisville, Louisville, KY 40292, USA"
Inessa Levi,"Department of Mathematics, University of Louisville, Louisville, KY 40292, USA"
Jukka Nyblom,"Department of Statistics, University of Joensuu, P.O. Box 111, 80101 Joensuu, Finland"
Stephen P. Borgatti,"Boston College, Boston, MA, USA"
Juha Roslakka,"Department of Social Policy, University of Joensuu, P.O. Box 111, 80101 Joensuu, Finland"
Mikko A. Salo,"Department of Social Policy, University of Joensuu, P.O. Box 111, 80101 Joensuu, Finland"
Jonathon N. Cummings,"Sloan School of Management, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139-4307, USA"
Rob Cross,"McIntire School of Commerce, University of Virginia, Virginia, USA"
Lada A. Adamic,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Eytan Adar,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Matthijs Kalmijn,"Tilburg University, P.O. Box 90.153, 5000 LE Tilburg, The Netherlands"
Shin-Kap Han,"Department of Sociology, University of Illinois at Urbana-Champaign, 326 Lincoln Hall, MC-454, Urbana, IL 61801, USA"
Kazuo Yamaguchi,"Department of Sociology, University of Chicago, 1126 E 59th Street, Chicago, IL 60637, USA"
Elizabeth Costenbader,"Department of Population and Family Health Sciences, Johns Hopkins Bloomberg School of Public Health, Johns Hopkins University, 615 N. Wolfe St., Baltimore, MD 21205, USA"
Thomas W. Valente,"Department of Preventive Medicine, University of Southern California School of Medicine, 1000 Fremont Avenue, Building A Room 5133, Alhambra, CA 91803, USA"
Miranda J. Lubbers,"Institute for Educational Research, GION, University of Groningen, Grote Rozenstraat 3, 9712 TG Groningen, The Netherlands"
William S. Lovejoy,"Business School, University of Michigan, 701 Tappan, Ann Arbor, MI 48109, USA"
Christoph H. Loch,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Linton C. Freeman,"Department of Sociology, School of Social Sciences, University of California - Irvine, SSPA 2143, CA 92697-5100, USA"
Ronald L. Breiger,"Department of Sociology, School of Social Sciences, University of California - Irvine, SSPA 2143, CA 92697-5100, USA"
Deirdre M. Kirke,"Department of Sociology, National University of Ireland, Maynooth, Co. Kildare, Ireland"
Patrick Doreian,"Department of Sociology, University of Pittsburgh, 2G245 WWPH, Pittsburgh, PA 15260, USA"
Vladimir Batagelj,"University of Ljubljana, Ljubljana, Slovenia"
Anuska Ferligoj,"University of Ljubljana, Ljubljana, Slovenia"
Chris Baerveldt,"Department of Sociology, and of Child and Adolescent Studies, Utrecht University, P.O. Box 80.140, 3508 TC Utrecht, The Netherlands"
Marijtje A. J. Van Duijn,"Department of Sociology/Statistics and Measurement Theory, University of Groningen, Groningen, The Netherlands"
Lotte Vermeij,"Department of Sociology, Utrecht University, Utrecht, The Netherlands"
Dianne A. Van Hemert,"Department of Psychology, Tilburg University, Tilburg, The Netherlands"
Charles Kadushin,"Cohen Center for Modern Jewish Studies and Heller School of Social Policy and Management, Brandeis University, Waltham, MA 02154, USA"
Wayne E. Baker,"Business School, University of Michigan, 701 Tappan Street, Ann Arbor, MI 48109-1234, USA"
Robert R. Faulkner,"University of Massachusetts, MA, USA"
John Skvoretz,"University of South Carolina, Columbia, SC 29208, USA"
Thomas J. Fararo,"University of Pittsburgh, Pittsburgh, PA, USA"
Filip Agneessens,"Ghent University, Ghent, Belgium"
Frits van Merode,"Department of Health Organization, Policy and Economics, Maastricht University, P.O. Box 616, 6200 MD Maastricht, The Netherlands"
Anna Nieboer,"Institute of Health Policy and Management, Erasmus MC, P.O. Box 1738, 3000 DR Rotterdam, The Netherlands"
Hans Maarse,"Department of Health Organization, Policy and Economics, Maastricht University, P.O. Box 616, 6200 MD Maastricht, The Netherlands"
Harm Lieverdink,"CTU, P.O. Box 459, 1180 AC Amstelveen, The Netherlands"
Petter Holme,"Department of Physics, Umeå University, S-901 87 Umeå, Sweden"
Christofer R. Edling,"Department of Sociology, Stockholm University, S-106 91 Stockholm, Sweden"
Fredrik Liljeros,"Department of Sociology, Stockholm University, S-106 91 Stockholm, Sweden"
María Guadalupe Ramírez Ortiz,"Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security, UMF No. 93, IMSS, Av. Tonla 121, CP 45 400 Tonala, Jalisco, Mexico"
José Ramiro Caballero Hoyos,"Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security, UMF No. 93, IMSS, Av. Tonla 121, CP 45 400 Tonala, Jalisco, Mexico"
María Guadalupe Ramírez López,"Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security, UMF No. 93, IMSS, Av. Tonla 121, CP 45 400 Tonala, Jalisco, Mexico"
Phillip Bonacich,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, CA 90095-1551, USA"
Annie Cody Holdren,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, CA 90095-1551, USA"
Michael Johnston,"Department of Sociology, University of California - Los Angeles, 2201 Hershey Hall, P.O. Box 951551, CA 90095-1551, USA"
Christian Tallberg,"Department of Statistics, Stockholm University, Stockholm, Sweden"
Uwe Matzat,"Department of Technology Management, Eindhoven University of Technology, PO Box 513, 5600 MB Eindhoven, The Netherlands"
Garry Robins,"Department of Psychology, School of Behavioural Science, University of Melbourne, Melbourne, Vic. 3010, Australia"
Philippa Pattison,"Department of Psychology, School of Behavioural Science, University of Melbourne, Melbourne, Vic. 3010, Australia"
Jodie Woolcock,"Department of Psychology, School of Behavioural Science, University of Melbourne, Melbourne, Vic. 3010, Australia"
Phillip Bonacich,"Department of Sociology, University of California - Los Angeles, CA 90095, USA"
Alexandra Marin,"Department of Sociology, Harvard University, William James Hall, 33 Kirkland St. Cambridge, MA 02138, USA"
Masaki Tomochi,"Faculty of Policy Studies, Chuo University, 742-1 Hachioji, Tokyo 192-0393, Japan"
W. Craig Carter,"Department of Sociology and Anthropology, Middle Tennessee State University, Murfreesboro, TN 37129, USA"
Scott L. Feld,"Department of Sociology and Anthropology, Purdue University, West Lafayette, IN 47907, USA"
Phillip Bonacich,"Department of Sociology, University of California - Los Angeles, 297 Haines Hall, 375 Portola Plaza, Los Angeles, CA 90095, USA"
Paulette Lloyd,"Department of Sociology, University of California - Los Angeles, 297 Haines Hall, 375 Portola Plaza, Los Angeles, CA 90095, USA"
George A. Barnett,"Department of Communication, School of Informatics, University at Buffalo (SUNY), 331 Baldy Hall, Buffalo, NY 14260, USA"
Rick Grannis,"Department of Sociology, University of California - Los Angeles, USA"
Patrick Doreian,"Department of Sociology, University of Pittsburgh, 2G245 WWPH, Pittsburgh, PA 15260, USA"
Vladimir Batagelj,"University of Ljubljana, Ljubljana, Slovenia"
Anuska Ferligoj,"University of Ljubljana, Ljubljana, Slovenia"
Elizabeth Costenbader,"Department of Population and Family Health Sciences, Johns Hopkins Bloomberg School of Public Health, Johns Hopkins University, 615 N. Wolfe St., Baltimore, MD 21205, USA"
Thomas W. Valente,"Department of Preventive Medicine, University of Southern California School of Medicine, 1000 Fremont Avenue, Building A Room 5133, Alhambra, CA 91803, USA"
Martin Van Der Gaag,"ICS, Free University, Amsterdam, The Netherlands"
Tom A. B. Snijders,"ICS, University of Groningen, Grote Rozenstraat 31, 9712 TG Groningen, The Netherlands"
Martin G. Everett,"University of Westminster, 35 Marylebone Road, London NW1 5LS, UK"
Stephen P. Borgatti,"Department of Organization Studies, Carroll Graduate School of Management, Boston College, Chestnut Hill, MA 02467, USA"
M. E. J. Newman,"Center for the Study of Complex Systems, University of Michigan, Ann Arbor, MI 48109-1120, USA"
Stephen P. Borgatti,"Department of Organization Studies, Boston College, Carroll School of Management, Chestnut Hill, MA 02467, USA"
Barbara Zemljic,"Radiotelevision Slovenija, Kolodvorska 2, SI-1550 Ljubljana, Slovenia"
Valentina Hlebec,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Ronald L. Breiger,"Department of Sociology, University of Arizona, Tucson, AZ 85721-0027, USA"
Rebecca Goolsby,"Office of Naval Research-Code 342, Cognitive, Neural, and Social S&T Division, USA"
Stephen P. Borgatti,"Department of Organization Studies, Carroll School of Management, Boston College, Fulton Hall, 140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA"
José Luis Molina,"Universitat Autònoma de Barcelona, Autonomous University of Barcelona, Barcelona E-08193, Spain"
Alden S. Klovdahl,"School of Social Sciences, Australian National University, The Faculties, Haydon-Allen 2171, Canberra, ACT 0200, Australia"
Charles Kadushin,"Cohen Center for Modern Jewish Studies and Heller School of Social Policy and Management, Brandeis University, Waltham, MA 02154, USA"
Claude S. Fischer,"University of California - Department of Sociology, 402 Barrows Hall, 94720-1980, USA"
Yang-chih Fu,"Institute of Sociology, Academia Sinica, Taipei 115, Taiwan"
Lada A. Adamic,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Eytan Adar,"HP Labs, 1501 Page Mill Road, Palo Alto, CA 94304, USA"
Tina Kogovsek,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Anuska Ferligoj,"Faculty of Social Sciences, University of Ljubljana, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Simona Bignami-Van Assche,"Harvard University Initiative for Global Health, 104 Mt. Auburn Street, Cambridge, MA 02138, USA"
Rance P. L. Lee,"Department of Sociology, The Chinese University of Hong Kong, Hong Kong"
Danching Ruan,"Department of Sociology, Hong Kong Baptist University, Hong Kong"
Gina Lai,"Department of Sociology, Hong Kong Baptist University, Hong Kong"
Karl M. van Meter,"LASMAS-CNRS, 59 ru Pouchet, 75017 Paris, France"
Claire Bidart,"CNRS, Laboratoire d’Economie et de Sociologie du Travail LEST, Université de la Méditerranée, UMR 6123 13200 Aix-en-Provence, France"
Alain Degenne,"Centre National de la Recherche Scientifique Laboratoire d’Analyse Sociologique et des Méthodes Appliquées aux Sciences Sociales Institut du Longitudinal, UMR 8097, MRSH, université de université de caen, University of Caen, 14032 université de caen, University of Caen, France"
Michel Grossetti,"Chercheur au CNRS, CIRUS-CERS, CNRS and the University of Toulouse le Mirail, 5 Allées A. Machado, 31058 Toulouse Cedex 9, France"
Dominique Cardon,"Laboratoire de sociologie des usages, France Télécom R&D, France"
Fabien Granjon,"Laboratoire de sociologie des usages, France Télécom R&D, France"
Christian Licoppe,"Ecole Nationale Supérieure des Télécommunications, Paris, France"
Zbigniew Smoreda,"France Télécom R&D/SUSI, 38 rue du Général Leclerc, 92794 Issy-les-Moulineaux Cedex 9, France"
Alain Degenne,"Directeur de recherche honoraire au CNRS, 4, rue des Coutures, F14470 Reviers, France"
Marie-Odile Lebeaux,"Ingénieur de recherche au CNRS, Lasmas, Maison de la recherche en Sciences humaines, Esplanade de la Paix, 14032 université de caen, University of Caen Cedex, France"
Claire Bidart,"Centre National de la Recherche Scientifique, Laboratoire d’Economie et de Sociologie du Travail, LEST, Université de la Méditerranée, UMR 6123, 35 av. Jules Ferry, 13200 Aix en Provence, France"
Daniel Lavenu,"Centre National de la Recherche Scientifique, Laboratoire d’Analyse Sociologique et des Méthodes Appliquées aux Sciences Sociales, MRSH, Université de université de caen, University of Caen, 14032 université de caen, University of Caen, France"
